word,level,frequency_ranking,pos,pinyin,definitions,source
掉头,7,11345,verb,diàotóu,"to turn one's head (away); to turn tail | to make a U-turn; to turn about; to turn around (of cars, boats, etc.)",kaikki
爹,7,4503,noun,diē,dad,drkameleon
跌,6,4284,verb,diē,to fall | to tumble | to trip | (of prices etc) to drop,drkameleon
迭起,7,61816,verb,diéqǐ,to occur repeatedly; to arise repeatedly,kaikki
叠,7,7389,verb,dié,to fold | to fold over in layers | to furl | to layer | to pile up | to repeat | to duplicate,drkameleon
丁,7,3211,noun,dīng,"male adult | the 4th of the 10 Heavenly Stems 干 | fourth (used like ""4"" or ""D"") | small cube of meat or vegetable | (literary) to encounter | (archaic) ancient Chinese compass point: 195° | (chemistry) butyl",drkameleon
叮嘱,7,23273,verb,dīngzhǔ,to warn repeatedly; to urge; to exhort again and again,kaikki
盯,7,2464,verb,dīng,to watch attentively | to fix one's attention on | to stare at | to gaze at,drkameleon
钉,7,5126,verb,dìng | dīng,nail | to follow closely | to keep at sb (to do sth) | to join things together by fixing them in place at one or more points | to nail | to pin | to staple | to sew on,drkameleon
钉子,7,14639,noun,dīngzi,nail | snag | saboteur,kaikki
顶,4,1623,noun,dǐng,"apex | crown of the head | top | roof | most | (slang) to ""bump"" a forum thread to raise its profile | classifier for headwear, hats, veils etc",drkameleon
顶,4,1623,verb,dǐng,"to carry on the head | to push to the top | to go against | to replace | to substitute | to be subjected to (an aerial bombing, hailstorm etc)",drkameleon
顶多,7,15420,adverb,dǐngduō,at most; at best,kaikki
顶级,7,5572,adjective,dǐngjí,top-notch; top; first-rate; first-class,kaikki
顶尖,7,9011,noun,dǐngjiān,top part; peak; apex; tip,kaikki
顶尖,7,9011,adjective,dǐngjiān,top; best; number one; finest,kaikki
顶尖,7,9011,adverb,dǐngjiān,rather; pretty; quite,kaikki
订,3,2991,verb,dìng,to agree | to conclude | to draw up | to subscribe to (a newspaper etc) | to order,drkameleon
订单,7,7820,noun,dìngdān,order form for goods; purchase order,kaikki
订购,7,11102,verb,dìnggòu,to order goods,kaikki
订婚,7,10745,verb,dìnghūn,to get engaged; to be betrothed,kaikki
订立,7,26730,verb,dìnglì,"to conclude (an agreement, contract, treaty, etc.); to reach; to establish",kaikki
定,4,586,verb,dìng,to set | to fix | to determine | to decide | to order,drkameleon
定价,6,13764,verb,dìngjià,to fix or set a price,kaikki
定价,6,13764,noun,dìngjià,fixed price; set price; list price,kaikki
定金,7,15438,noun,dìngjīn,deposit; initial payment; down payment; advance payment; earnest money,kaikki
定居,7,13309,verb,dìngjū,to settle down; to take up residence; to make one's home,kaikki
定论,7,13353,noun,dìnglùn,"final conclusion, accepted argument, verdict",kaikki
定期,3,7535,noun,dìngqī,fixed period,kaikki
定期,3,7535,adjective,dìngqī,fixed; periodical; regular,kaikki
定期,3,7535,verb,dìngqī,to fix a period,kaikki
定时,6,14319,verb,dìngshí,to fix time; to time,kaikki
定时,6,14319,noun,dìng shí,fixed time,drkameleon
定时,6,14319,adjective,dìngshí,timed (of explosives); fixed (of times),kaikki
定位,6,3300,verb,dìngwèi,to orient; to orientate; to direct,kaikki
定位,6,3300,noun,dìngwèi,location; positioning; orientation,kaikki
定向,7,14918,verb,dìngxiàng,to orient; to orientate; to direct,kaikki
定向,7,14918,noun,dìngxiàng,orienteering,kaikki
定向,7,14918,adjective,dìngxiàng,directional,kaikki
定心丸,7,38626,noun,dìngxīnwán,pill that settle's one's mind or reduces anxiety; tranquilizer | something that provides reassurance; something that sets one's mind at ease,kaikki
定义,7,4821,noun,dìngyì,definition,kaikki
定义,7,4821,verb,dìngyì,to come up with a definition; to define,kaikki
定做,7,14932,verb,dìngzuò,to custom-make,kaikki
丢,5,1655,verb,diū,to lose | to put aside | to throw,drkameleon
丢掉,7,7268,verb,diūdiào,to lose; to misplace | to throw away; to discard | to miss out,kaikki
丢脸,7,9491,adjective,diū liǎn,to lose face | humiliation,drkameleon
丢脸,7,9491,verb,diūliǎn,to lose face; to bring shame to oneself; to be disgraceful,kaikki
丢弃,7,12126,verb,diūqì,to abandon; to cast out; to throw away,kaikki
丢人,7,8878,adjective,diū rén,to lose face,drkameleon
丢人,7,8878,verb,diūrén,to lose face; to bring shame to oneself; to be embarrassing; to be disgraceful,kaikki
丢三落四,6,57241,idiom,diūsānlàsì,to be forgetful,kaikki
丢三落四,6,57241,noun,diū sān là sì,empty-headed,drkameleon
丢失,7,6608,verb,diūshī,to lose; to misplace,kaikki
东,1,1509,noun,dōng,east | host (i.e. sitting on east side of guest) | landlord,drkameleon
东北,2,6344,noun,dōngběi,northeast,kaikki
东奔西走,7,54249,verb,dōng bēn xī zǒu,to run this way and that (idiom); to rush about busily | to bustle about | to hopscotch,drkameleon
东奔西走,7,54249,idiom,dōngbēnxīzǒu,to rush about busily; to busy oneself; to run about; to be on the move,kaikki
东边,1,16314,postposition,dōng bian,east | east side | eastern part | to the east of,drkameleon
东边,1,16314,noun,dōngbiān,east; in the east,kaikki
东部,3,5067,postposition,dōng bù,the east | eastern part,drkameleon
东部,3,5067,noun,dōngbù,eastern part,kaikki
东道主,7,35077,noun,dōngdàozhǔ,host (person who receives or entertains other people as guests),kaikki
东方,2,5137,noun,dōngfāng,east,kaikki
东南,2,10838,postposition,dōng nán,southeast,drkameleon
东南,2,10838,noun,dōngnán,southeast,kaikki
东西,1,226,noun,dōngxī | dōngxi,east and west | nearby; vicinity | everywhere | seventy to eighty years old | thing; stuff; something | Referring to a person or animal with emotion.,kaikki
东西,1,226,adverb,dōngxī,from east to west,kaikki
东张西望,7,34585,verb,dōngzhāngxīwàng,to look around,kaikki
冬,3,5272,noun,dōng,winter | (onom.) beating a drum | rat-a-tat,drkameleon
冬季,4,6769,noun,dōngjì,winter,kaikki
冬天,2,3291,noun,dōngtiān,winter,kaikki
董事,7,7964,noun,dǒngshì,"director; board member (of a company, organization, etc.)",kaikki
董事,7,7964,verb,dǒngshì,to manage an affair,kaikki
董事会,7,3580,noun,dǒngshìhuì,board of directors | board meeting,kaikki
董事长,7,10696,noun,dǒngshìzhǎng,chair (of a board of directors); president; CEO,kaikki
懂,2,669,verb,dǒng,to understand | to comprehend,drkameleon
懂得,2,2899,verb,dǒngde,to know; to understand; to grasp,kaikki
懂事,7,10408,verb,dǒng shì,to grow beyond the naivete of childhood; to be aware of what is going on in the world,drkameleon
懂事,7,10408,noun,dǒng shì,(esp. of a child) sensible; thoughtful; intelligent,drkameleon
懂事,7,10408,adjective,dǒngshì,sensible; capable; good; thoughtful; smart; well-behaved,kaikki
动,1,588,verb,dòng,(of sth) to move | to set in movement | to displace | to touch | to make use of | to stir (emotions) | to alter,drkameleon
动不动,7,15977,adverb,dòngbùdòng,often; frequently; happening easily,kaikki
动弹,7,14882,verb,dòngtán,to move; to budge; to stir,kaikki
动荡,7,15320,adjective,dòngdàng,turbulent; full of upheavals; tumultuous; unstable,kaikki
动荡,7,15320,verb,dòngdàng,to undulate; to ripple,kaikki
动感,7,11247,noun,dònggǎn,liveliness; vividness,kaikki
动工,7,17779,verb,dònggōng,to start construction,kaikki
动画,6,8737,noun,dònghuà,animation; cartoon,kaikki
动画片,4,10899,noun,dònghuàpiàn,animated film; cartoon,kaikki
动机,5,4386,noun,dòngjī,motive; intention; intent | motive; a short melodic passage that is repeated in several parts of a work.,kaikki
动静,7,7275,noun,dòngjìng,sound of something astir | movement; activity | moving and being still; movement and rest | behaviour; conduct,kaikki
动力,3,2740,noun,dònglì,motive power | force; impetus; motivation (to do something),kaikki
动脉,7,5572,noun,dòngmài,artery,kaikki
动人,3,7579,adjective,dòngrén,moving; touching,kaikki
动身,7,15560,verb,dòngshēn,to start; to set out,kaikki
动手,5,3357,verb,dòngshǒu,to get started; to set about a task; to get to work | to touch (with the hand); to handle | to strike; to hit with the hands; to beat; to assault; to fight,kaikki
动态,5,6636,noun,dòngtài,dynamic state | developments; trends; dynamics; developmental state | update; post,kaikki
动听,7,13115,adjective,dòngtīng,pleasant to listen to; easy on the ear,kaikki
动物,2,1438,noun,dòngwù,animal; creature | moving thing,kaikki
动物园,2,9030,noun,dòngwùyuán,zoo; menagerie,kaikki
动向,7,13442,noun,dòngxiàng,trend; tendency | direction of movement,kaikki
动摇,4,8871,verb,dòngyáo,to swing; to rock; to shake | to destabilise; to waver; to rattle; to shake; to undermine,kaikki
动用,7,8160,verb,dòngyòng,"to use; to make use of; to put to use; to utilise; to draw on (of staff, funds, etc.)",kaikki
动员,5,10037,verb,dòngyuán,to mobilise | to arouse; to stimulate,kaikki
动作,1,1418,noun,dòngzuò,movement; action; motion; move,kaikki
动作,1,1418,verb,dòngzuò,to move,kaikki
动作,1,1418,adjective,dòngzuò,action,kaikki
冻,5,3883,verb,dòng,to freeze | to feel very cold | aspic or jelly,drkameleon
冻结,7,8844,verb,dòngjié,"to freeze | to block; to freeze (assets, accounts, personnel, etc.)",kaikki
栋,7,3370,verb,dòng,classifier for houses or buildings,drkameleon
栋,7,3370,adjective,dòng,ridgepole (old),drkameleon
洞,5,2225,noun,dòng,cave | hole | zero (unambiguous spoken form when spelling out numbers),drkameleon
洞穴,6,12289,noun,dòngxué,cave; cavern; grotto,kaikki
都,1,25,adverb,dū | dōu,all; both; entirely | already | (not) at all,drkameleon
都,1,25,noun,dū | dōu,capital city | metropolis,drkameleon
都会,7,4120,noun,dūhuì,metropolis; major city,kaikki
都市,6,5804,noun,dūshì,metropolis; major city,kaikki
兜,7,6727,noun,dōu,pocket | bag | combat armor (old),drkameleon
兜,7,6727,verb,dōu,to wrap up or hold in a bag | to move in a circle | to canvas or solicit | to take responsibility for | to disclose in detail,drkameleon
兜售,7,19665,verb,dōushòu,to hawk; to peddle,kaikki
抖,7,6478,verb,dǒu,to tremble | to shake out | to reveal | to make it in the world,drkameleon
陡,7,20491,adjective,dǒu,steep | precipitous | abrubtly | suddenly | unexpectedly,drkameleon
陡峭,6,28114,adjective,dǒuqiào,steep; precipitous,kaikki
斗,7,2960,noun,dǒu | dòu,dry measure for grain equal to ten 升 or one-tenth of a 石 | decaliter | peck | cup or dipper shaped object,drkameleon
斗,7,2960,verb,dǒu | dòu,to fight | to struggle | to condemn | to censure | to contend | to put together,drkameleon
斗,7,2960,adverb,dǒu | dòu,coming together,drkameleon
斗争,6,2672,verb,dòuzhēng,to struggle; to fight; to strive | to accuse and denounce someone at a meeting (especially a Communist one),kaikki
斗争,6,2672,noun,dòuzhēng,struggle; fight; campaign against something,kaikki
斗志,7,11589,noun,dòuzhì,will to fight; fighting spirit,kaikki
豆腐,4,6407,noun,dòufu,tofu; bean curd | any food with tofu-like physical quality,kaikki
豆浆,7,20620,noun,dòujiāng,"soy milk (watery, non-dairy soy milk)",kaikki
豆制品,5,37535,noun,dòuzhìpǐn,bean product,kaikki
豆子,7,13765,noun,dòuzi,bean; pea (any pod-bearing plant or its seeds) | bean; pea (any pod-bearing plant or its seeds); soybean | anything resembling a bean or a pea,kaikki
逗,7,4825,verb,dòu,to tease (playfully); to entice | (coll.) to joke | (coll.) funny; amusing | to stay; to sojourn,drkameleon
督促,7,15561,verb,dūcù,to supervise and urge on,kaikki
毒,5,1958,noun,dú,poison | poisonous | malicious | narcotics,drkameleon
毒,5,1958,verb,dú,to poison,drkameleon
毒,5,1958,adjective,dú,cruel | fierce,drkameleon
毒品,6,3565,noun,dúpǐn,drug (illegal addictive psychoactive substance); narcotic,kaikki
独,7,3635,adverb,dú,alone,drkameleon
独,7,3635,adjective,dú,independent | single | sole,drkameleon
独,7,3635,noun,dú,only,drkameleon
独裁,6,17264,adjective,dú cái,dictatorship,drkameleon
独裁,6,17264,verb,dúcái,to rule as a dictator | to make decisions for others by oneself; to behave tyrannically,kaikki
独裁,6,17264,noun,dúcái,dictatorship (government led by a dictator) | making decisions for a group by oneself; tyranny,kaikki
独唱,7,22679,verb,dúchàng,to sing a solo,kaikki
独家,7,6451,noun,dú jiā,exclusive,drkameleon
独家,7,6451,adjective,dújiā,exclusive; sole,kaikki
独立,4,1876,adjective,dúlì,extraordinary; preeminent | independent; separate,kaikki
独立,4,1876,verb,dúlì,to stand alone | to be independent; to stand on one's own | to be independent,kaikki
独立自主,7,26162,verb,dú lì zì zhǔ,independent and autonomous (idiom); self-determination | to act independently | to maintain control over one's own affairs,drkameleon
独立自主,7,26162,idiom,dúlìzìzhǔ,"to be independent and one's own master | to pursue a foreign policy of peaceful development, autonomy and self-reliance",kaikki
独身,7,23623,noun,dúshēn,single or unmarried person,kaikki
独身,7,23623,adverb,dúshēn,alone; by oneself; away from people,kaikki
独特,4,3375,adjective,dútè,unique; distinctive; singular,kaikki
独一无二,7,8494,idiom,dúyīwú'èr,unique; exclusive; unparalleled; unmatched; singular,kaikki
独自,4,3634,adverb,dúzì,alone; by oneself; solitary,kaikki
读,1,1013,verb,dú | dòu,comma | phrase marked by pause | to read out; to read aloud | to read | to attend (school); to study (a subject in school) | to pronounce,drkameleon
读书,1,3285,verb,dúshū,to read books | to study | to be in school; to attend school,kaikki
读音,2,28795,noun,dúyīn,pronunciation (especially of a Chinese character) | literary reading,kaikki
读者,3,4369,noun,dúzhě,"reader (of books, periodicals, magazines, etc.)",kaikki
堵,4,3782,verb,dǔ,"to block up (a road, pipe etc) | to stop up (a hole) | (classifier for walls)",drkameleon
堵,4,3782,noun,dǔ,(fig.) (of a person) choked up with anxiety or stress | wall (literary),drkameleon
堵车,4,10563,verb,dǔchē,to stop up a road with vehicles; to be jammed with traffic; to be congested; to have a traffic jam,kaikki
堵塞,7,9777,verb,dǔsè,to block; to block up; to jam; to plug,kaikki
赌,6,2992,verb,dǔ,to bet | to gamble,drkameleon
赌博,6,5072,verb,dǔbó,to gamble; to bet money | to gamble (take risks to achieve something),kaikki
妒忌,7,13608,verb,dùjì,to be jealous; to envy; to be envious,kaikki
杜绝,7,19250,verb,dùjué,to stop; to put an end to,kaikki
肚子,4,2763,noun,dùzi | dǔzi,abdomen; belly; stomach | heart; gut; innermost being | object shaped like a belly; round and protruding object | tripe,kaikki
度,2,925,verb,duó | dù,to pass | to spend (time) | to estimate,drkameleon
度,2,925,noun,duó | dù,"measure | limit | extent | degree of intensity | degree (angles, temperature etc) | kilowatt-hour | classifier for events and occurrences",drkameleon
度过,4,2905,verb,dùguò,to pass; to spend (time) | to survive; to get through,kaikki
度假,7,5431,verb,dùjià,to vacation; to go on holiday,kaikki
渡,6,6175,verb,dù,to cross | to pass through | to ferry,drkameleon
渡过,7,9731,verb,dùguò,to pass through; to tide over; to cross over,kaikki
端,6,2412,noun,duān,end | extremity | item | port | start | origin,drkameleon
端,6,2412,verb,duān,to hold sth level with both hands | to carry,drkameleon
端,6,2412,adjective,duān,regular,drkameleon
端正,7,16934,adjective,duānzhèng,upright; regular; straight | proper; decent; correct; upright; regular; straight; healthy,kaikki
端正,7,16934,verb,duānzhèng,to rectify; to correct; to set straight,kaikki
短,2,983,adjective,duǎn,short | brief | to lack | weak point | fault,drkameleon
短处,3,32713,noun,duǎnchu,shortcoming; defect; fault; one's weak points,kaikki
短促,6,34131,adjective,duǎncù,of very short duration; very brief; fleeting,kaikki
短裤,3,9325,noun,duǎnkù,shorts (trousers that do not go lower than the knees) | shorts (underwear bottoms),kaikki
短片,6,11071,noun,duǎnpiàn,short film; short | short video; video clip,kaikki
短期,3,5844,noun,duǎnqī,short period of time; short term,kaikki
短期,3,5844,adjective,duǎn qī,short-term,drkameleon
短缺,7,11712,verb,duǎnquē,to lack; to have a shortage; to be short of; to be scarce,kaikki
短信,2,1000000,noun,duǎnxìn,text message; SMS | short letter,kaikki
短暂,7,5349,adjective,duǎnzàn,temporary; transient | fleeting; ephemeral; short-lived; short,kaikki
段,2,647,noun,duàn,"paragraph | section | segment | stage (of a process) | classifier for stories, periods of time, lengths of thread etc",drkameleon
段落,7,24046,noun,duànluò,paragraph | phase; interval; stage,kaikki
断,3,1707,verb,duàn,to break | to snap | to cut off | to give up or abstain from sth | to judge | (usu. used in the negative) absolutely | definitely | decidedly,drkameleon
断定,7,13050,verb,duàndìng,to conclude; to determine; to decide,kaikki
断断续续,7,22968,idiom,duàn duàn xù xù,intermittent | off and on | discontinuous | stop-go | stammering | disjointed | inarticulate,drkameleon
断断续续,7,22968,adjective,duànduànxùxù,intermittent; off and on; discontinuous; stop-go; stammering; disjointed; inarticulate,kaikki
断绝,6,13974,verb,duànjué,to break off; to cut off; to sever,kaikki
断裂,7,10375,verb,duànliè,to break apart; to become broken; to rupture; to fracture,kaikki
堆,5,2915,verb,duī,to pile up | to heap up,drkameleon
堆,5,2915,noun,duī,a mass | pile | heap | stack | large amount,drkameleon
堆积,6,15402,verb,duījī,to pile up; to heap up,kaikki
堆砌,7,36363,verb,duīqì,to pile up something in order to build something; to build (by stacking up) | to fill one's writing with florid and fancy phrases such as purple prose,kaikki
队,2,422,noun,duì,squadron | team | group,drkameleon
队伍,6,1484,noun,duìwǔ,troops | ranks; contingent | team; group; procession,kaikki
队形,7,19755,noun,duìxíng,formation (group of people in a particular pattern),kaikki
队员,3,1688,noun,duìyuán,team member,kaikki
队长,2,3177,noun,duìzhǎng,captain; team leader,kaikki
对,1,28,noun,duì,right; correct | concerning; regarding | (bound form) opposite; facing; matching | classifier: couple; pair,drkameleon
对,1,28,verb,duì,towards; at; for | to treat (sb a certain way) | to face | to match together; to adjust | to fit; to suit | to answer; to reply | to add; to pour in (a fluid) | to check; to compare,drkameleon
对白,7,19070,noun,duìbái,"dialog (for the stage, film, television, etc.)",kaikki
对比,4,5260,verb,duìbǐ,to compare; to contrast,kaikki
对比,4,5260,noun,duìbǐ,ratio; proportion | correlation | pair,kaikki
对比,4,5260,adjective,duìbǐ,contrasting,kaikki
对不起,1,1577,verb,duìbùqǐ,to cause someone embarrassment; to screw someone over; to do something to a person that would demand an apology later on; to let down,kaikki
对不起,1,1577,interjection,duìbùqǐ,sorry; excuse me,kaikki
对策,7,9719,noun,duìcè,the way to deal with a situation; countermeasure,kaikki
对策,7,9719,verb,duìcè,to provide a governance strategy to the Emperor,kaikki
对称,7,13912,adjective,duìchèn,symmetrical,kaikki
对称,7,13912,noun,duìchēng,name for the other party in the conversation; second person,kaikki
对待,3,2429,verb,duìdài,to treat; to approach; to handle,kaikki
对得起,7,17263,verb,duìdeqǐ,not to let somebody down; to treat somebody fairly; to be worthy of,kaikki
对方,3,1158,noun,duìfāng,the opposing party; the other side; the opposite side,kaikki
对付,4,3169,verb,duìfu,to deal with; to cope with | to make do; to get by | to get along,kaikki
对话,2,3221,verb,duìhuà,to start a conversation; to converse; to talk,kaikki
对话,2,3221,noun,duìhuà,dialogue; conversation,kaikki
对抗,6,4063,verb,duìkàng,to confront; to antagonize | to oppose; to resist,kaikki
对立,5,12725,verb,duìlì,to oppose; to set something against; to counter; to be antagonistic to,kaikki
对立,5,12725,noun,duìlì,opposition; conflict,kaikki
对联,7,47502,noun,duìlián,"antithetical couplet, often consisting of two lines of verse written vertically down the opposing sides of a doorway",kaikki
对面,2,3939,noun,duì miàn,(sitting) opposite | across (the street) | directly in front,drkameleon
对面,2,3939,verb,duì miàn,to be face to face,drkameleon
对面,2,3939,adjective,duìmiàn,opposite | face-to-face,kaikki
对手,3,1603,noun,duìshǒu,"Used other than figuratively or idiomatically: see 對手 /对手 (duì shǒu, “(a) pair of hands”). | opponent; adversary | one's match; one's equal",kaikki
对手,3,1603,verb,duìshǒu,to help; to lend a helping hand,kaikki
对外,6,6167,verb,duìwài,to resist foreign aggression | to be open to outsiders,kaikki
对外,6,6167,adjective,duìwài,foreign; external; with other countries,kaikki
对象,3,1912,noun,duìxiàng,"target; object | subject (for research, testing, etc.); candidate (for training) | partner; boyfriend or girlfriend; significant other; other half | object",kaikki
对弈,7,43779,verb,duìyì,to play chess; to play Go,kaikki
对应,5,9540,verb,duìyìng,to correspond,kaikki
对应,5,9540,adjective,duìyìng,corresponding,kaikki
对应,5,9540,noun,duìyìng,correspondence | equivalence,kaikki
对于,4,490,preposition,duìyú,concerning; regarding; as for; about; to,kaikki
对照,7,10916,verb,duìzhào,to compare; to contrast,kaikki
对照,7,10916,noun,duìzhào,contrast; comparison,kaikki
对峙,7,14325,verb,duìzhì,to face each other; to stand opposite | to engage in a stand-off or confrontation,kaikki
对准,7,9531,verb,duìzhǔn,to aim at; to target,kaikki
对准,7,9531,noun,duìzhǔn,alignment,kaikki
兑换,7,11279,verb,duìhuàn,to exchange; to swap; to redeem,kaikki
兑现,7,7819,verb,duìxiàn,"to cash (a cheque, etc.) | to honor; to make good on (a promise, commitment, etc.)",kaikki
吨,5,4023,classifier,dūn,ton (loanword),drkameleon
敦促,7,23516,verb,dūncù,to urge; to hasten; to press,kaikki
敦厚,7,59499,adjective,dūnhòu,honest and sincere; genuine,kaikki
蹲,6,3836,verb,dūn,to crouch | to squat | to stay (somewhere),drkameleon
炖,7,6833,verb,dùn,to stew,drkameleon
顿,3,1617,verb,dùn,"to stop | to pause | to arrange | to lay out | to kowtow | to stamp (one's foot) | classifier for meals, beatings, scoldings etc: time, bout, spell, meal",drkameleon
顿,3,1617,adverb,dùn,at once,drkameleon
顿时,7,13943,adverb,dùnshí,immediately; at once,kaikki
多,1,80,adjective,duō,many; much | too many; in excess,drkameleon
多,1,80,adverb,duō,(after a numeral) ... odd | how (to what extent),drkameleon
多,1,80,noun,duō,(bound form) multi-; poly-,drkameleon
多半,6,10235,noun,duōbàn,more than half; the greater part,kaikki
多半,6,10235,adjective,duō bàn,mostly,drkameleon
多半,6,10235,adverb,duōbàn,probably; most likely,kaikki
多边,7,38438,adjective,duōbiān,multisided; having many sides | multilateral; involving many sides (points of view),kaikki
多次,4,4428,noun,duōcì,many times,kaikki
多次,4,4428,adverb,duōcì,repeatedly; several | one more time,kaikki
多功能,7,25765,adjective,duōgōngnéng,multi-purpose; multifunctional,kaikki
多久,2,2322,adverb,duōjiǔ,how long (in terms of time),kaikki
多亏,7,12071,verb,duōkuī,luckily; it is fortunate that; thanks to,kaikki
多劳多得,7,49146,verb,duō láo duō dé,work more and get more,drkameleon
多劳多得,7,49146,idiom,duōláoduōdé,"the harder one works, the more one gets paid",kaikki
多么,2,1940,adverb,duōme,how; what; so; such | how | no matter how,kaikki
多么,2,1940,noun,duō me,what (a great idea etc),drkameleon
多么,2,1940,conjunction,duō me,however (difficult it may be etc),drkameleon
多么,2,1940,verb,duō me,to what extent,drkameleon
多媒体,6,15310,noun,duōméitǐ,multimedia,kaikki
多年,4,4233,numeral,duō nián,many years | for many years | longstanding,drkameleon
多年,4,4233,noun,duōnián,many years,kaikki
多少,1,526,pronoun,duō shǎo | duō shao,"number | amount | somewhat | how much? | how many? | (phone number, student ID etc) what number?",drkameleon
多少,1,526,adjective,duōshao,how many; how much | as much as; as many as,kaikki
多少,1,526,noun,duōshǎo,amount; how much; how many,kaikki
多少,1,526,adverb,duōshǎo,somewhat; more or less,kaikki
多数,2,4376,numeral,duō shù,majority; most,drkameleon
多数,2,4376,noun,duōshù,most; large number; majority,kaikki
多心,7,34807,adjective,duōxīn,oversensitive; paranoid; suspicious,kaikki
多样,4,19807,adjective,duōyàng,diverse,kaikki
多样,4,19807,noun,duō yàng,manifold,drkameleon
多余,7,5739,adjective,duōyú,superfluous; unnecessary; surplus; uncalled-for; spare; excessive; redundant,kaikki
多余,7,5739,verb,duōyú,to exceed,kaikki
多元,7,49030,adjective,duōyuán,pluralistic (poly-); multielement (multi-) | multivariate,kaikki
多元化,6,15847,verb,duōyuánhuà,to diversify,kaikki
多云,2,4950,adjective,duōyún,cloudy,kaikki
多种,4,7142,numeral,duō zhǒng,many kinds of; multiple; diverse; multi-,drkameleon
多种,4,7142,noun,duōzhǒng,many kinds; various types,kaikki
多种,4,7142,adjective,duōzhǒng,multiple; various; diversified; mixed,kaikki
哆嗦,7,23415,verb,duōsuo,to shiver; to tremble,kaikki
夺,6,3462,verb,duó,to seize | to take away forcibly | to wrest control of | to compete or strive for | to force one's way through | to leave out | to lose,drkameleon
夺冠,7,8401,verb,duóguàn,to take first prize; to win the gold medal,kaikki
夺魁,7,39965,verb,duókuí,to contend the championship | to secure the top spot; to win the first place,kaikki
夺取,6,8232,verb,duóqǔ,to snatch; to seize; to grab; to wrest; to take by force,kaikki
躲,5,2378,verb,duǒ,to hide | to dodge | to avoid,drkameleon
躲避,7,7419,verb,duǒbì,to avoid; to dodge; to hide oneself; to elude,kaikki
躲藏,7,16284,verb,duǒcáng,to hide or conceal oneself; to go into hiding,kaikki
堕落,7,8016,verb,duòluò,to degenerate; to sink low | to fall; to drop; to come off,kaikki
舵手,7,28050,noun,duòshǒu,helmsman (member of a ship's crew who is responsible for steering) | helmsman; leader,kaikki
朵,5,4920,noun,duǒ,flower | earlobe | fig. item on both sides,drkameleon
朵,5,4920,verb,duǒ,"classifier for flowers, clouds etc",drkameleon
讹诈,7,40387,verb,ézhà,to defraud; to deceive; to cheat | to extort; to blackmail,kaikki
俄语,7,16273,noun,Éyǔ,Russian language,kaikki
鹅,7,7741,noun,é,goose,drkameleon
额外,7,6599,noun,é wài,extra | additional,drkameleon
额外,7,6599,adjective,éwài,extra; additional; added,kaikki
厄运,7,15845,noun,èyùn,bad luck; misfortune,kaikki
恶,7,3536,noun,è | wù | ě,evil,drkameleon
恶,7,3536,adjective,è | wù | ě,fierce | vicious | ugly | coarse | ashamed,drkameleon
恶,7,3536,verb,è | wù | ě,to harm | to hate | to loathe | to fear | to slander,drkameleon
恶化,7,6138,verb,èhuà,to worsen; to deteriorate; to take a turn for the worse | to make worse; to exacerbate; to harm; to damage,kaikki
恶劣,7,6454,adjective,èliè,of poor quality; bad; inferior | adverse; tough; hard | vile; nasty; evil,kaikki
恶心,4,2463,adjective,ěxīn,nauseated; nauseous | revolting; disgusting,kaikki
恶心,4,2463,noun,ěxīn | èxīn,nausea; queasiness | bad habit; vice,kaikki
恶心,4,2463,verb,ěxīn,to make things difficult for someone,kaikki
恶性,7,11199,adjective,èxìng,bad; vicious; wicked | malignant (tumor),kaikki
恶性,7,11199,noun,èxìng,bad; viciousness; wickedness,kaikki
恶意,7,6755,noun,èyì,malice; ill will,kaikki
饿,1,1477,verb,è,to be hungry | to starve (sb),drkameleon
饿,1,1477,adjective,è,hungry,drkameleon
掠夺,7,12733,verb,lüèduó,to plunder; to rob; to pillage,kaikki
略,7,5208,noun,lu:è,brief; sketchy | outline; summary | plan; strategy,drkameleon
略,7,5208,verb,lu:è,to omit | to capture (territory),drkameleon
略,7,5208,adverb,lu:è,(bound form before a single-character verb) a bit; somewhat; slightly,drkameleon
略微,7,20310,adverb,lüèwēi,slightly; a little; somewhat,kaikki
遏制,7,14933,verb,èzhì,to constrain; to contain; to restrain; to hold back,kaikki
鳄鱼,7,10043,noun,èyú,"crocodilian (crocodile, alligator, gavial)",kaikki
恩赐,7,21883,verb,ēncì,to bestow favour | to give charity out of pity,kaikki
恩惠,7,21381,noun,ēnhuì,grace; favour; kindness,kaikki
恩情,7,31449,noun,ēnqíng,kindness; affection; grace; favor,kaikki
恩人,6,21790,noun,ēnrén,someone who is kind or helpful to someone else; benefactor; patron,kaikki
恩怨,7,12053,noun,ēnyuàn,feelings of gratitude and resentment; gratitude and grudges | affection and friction between a couple; love-hate relationship of a couple | resentment; grievances; old scores; animosity,kaikki
儿科,6,13080,noun,érkē,pediatrics,kaikki
儿女,5,10636,noun,érnǚ,son and daughter; sons and daughters | children,kaikki
儿童,4,1692,noun,értóng,child,kaikki
儿子,1,665,noun,érzi | érzǐ,"son | man | baby; infant; newborn | child | Term of self-address, used by a man when speaking to elders.",kaikki
而,4,75,verb,ér,and,drkameleon
而,4,75,adverb,ér,as well as | and so | but (not) | yet (not),drkameleon
而且,2,239,conjunction,érqiě,furthermore; in addition; moreover,kaikki
而是,4,1031,conjunction,érshì,but; rather,kaikki
