word,level,frequency_ranking,pos,pinyin,definitions,source
安心,7,5992,verb,ānxīn,to be relieved; to feel at ease | to keep one's mind on something | to harbour (malicious) intentions,kaikki
安逸,7,14622,adjective,ānyì,easy and comfortable | well; healthy; not ill | pretty; beautiful | tasty; good | awful; terrible,kaikki
安逸,7,14622,verb,ānyì,to be satisfied with,kaikki
安置,4,5845,verb,ānzhì,to arrange for; to help settle down; to find a place for,kaikki
安装,3,3653,verb,ānzhuāng,"to install (a component, piece of equipment, computer program, etc.); to fix; to mount",kaikki
岸,5,6867,noun,àn,bank; shore; beach; coast,drkameleon
按,3,678,verb,àn,to press | to push | to leave aside or shelve | to control | to restrain | to keep one's hand on | to check or refer to | (of an editor or author) to make a comment,drkameleon
按,3,678,adverb,àn,according to | in the light of,drkameleon
按键,7,13672,noun,ànjiàn,keystroke (on a computer keyboard),kaikki
按键,7,13672,verb,ànjiàn,to press a key (on a computer keyboard),kaikki
按理说,7,25769,verb,àn lǐ shuō,it is reasonable to say that...,drkameleon
按理说,7,25769,adverb,ànlǐshuō,normally; in the ordinary course of events,kaikki
按摩,5,3990,verb,ànmó,to massage,kaikki
按时,4,7233,adverb,ànshí,on time; on schedule,kaikki
按说,7,32917,adverb,ànshuō,normally; in the ordinary course of events,kaikki
按照,3,1378,adverb,àn zhào,according to | in accordance with | in the light of | on the basis of,drkameleon
按照,3,1378,preposition,ànzhào,according to; in accordance with; in light of; in a manner conforming to; in compliance with,kaikki
案件,7,1617,noun,ànjiàn,"case (legal matter, proceeding or lawsuit) | event; incident; occurrence | case file",kaikki
案例,6,6195,noun,ànlì,"case (in law, research, etc.)",kaikki
暗,4,2594,adjective,àn,dark | to turn dark | secret; hidden | (literary) confused; ignorant | (literary) to close (a door) | to eclipse,drkameleon
暗地里,7,20436,adverb,àndìlǐ,in secret; in private; surreptitiously; behind someone's back; privately; on the sly,kaikki
暗杀,7,9964,verb,ànshā,to kill discreetly; to assassinate discreetly,kaikki
暗示,4,4917,verb,ànshì,to hint at; to drop a hint; to imply,kaikki
暗示,4,4917,noun,ànshì,hint; suggestion,kaikki
暗中,7,9222,adjective,àn zhōng,in the dark,drkameleon
暗中,7,9222,adverb,ànzhōng,in the dark (being somewhere without light) | in secret; in private; surreptitiously; behind someone's back; privately; on the sly,kaikki
昂贵,7,7743,adjective,ángguì,expensive; exorbitant; costly,kaikki
凹,7,10239,adjective,āo | wā,depressed | sunken | indented | concave | female (connector etc),drkameleon
凹凸,6,38312,noun,āo tū,concave or convex | bumps and holes | uneven (surface) | rugged,drkameleon
凹凸,6,38312,adjective,āotū,uneven; bumpy; rugged | concavo-convex,kaikki
熬,7,4418,verb,āo | áo,to boil | to simmer | to cook on a slow fire | to extract by heating | to decoct | to endure,drkameleon
熬夜,7,9364,verb,áoyè,to stay up late or all night,kaikki
傲,7,7205,adjective,ào,proud | arrogant | unyielding,drkameleon
傲,7,7205,verb,ào,to despise | to defy,drkameleon
傲慢,7,11766,adjective,àomàn,arrogant; haughty; supercilious; proud,kaikki
奥秘,7,18113,noun,àomì,profound mystery,kaikki
八,1,1362,noun,bā,eight; 8,drkameleon
八卦,7,6491,noun,bāguà,bagua (eight divinatory trigrams of the I Ching) | gossip; tittle-tattle; rumour,kaikki
八卦,7,6491,verb,bāguà,to gossip; to tittle-tattle,kaikki
八卦,7,6491,adjective,bāguà,prone to gossip; gossipy,kaikki
扒,7,8554,verb,bā | pá,to peel | to skin | to tear | to pull down | to cling to (sth on which one is climbing) | to dig | to rake up | to steal | to braise | to crawl,drkameleon
芭蕾,7,12522,noun,bālěi,ballet,kaikki
疤,6,9775,noun,bā,scar | scab,drkameleon
拔,5,3803,verb,bá,to pull up | to pull out | to draw out by suction | to select | to pick | to stand out (above level) | to surpass | to seize,drkameleon
拔苗助长,6,59082,idiom,bámiáozhùzhǎng,"to be hasty and use inappropriate methods in order to achieve a goal quickly, but by doing so ruin things instead and fail in the end",kaikki
把,3,50,verb,bǎ | bà,"to hold; to grasp | to hold a baby in position to help it urinate or defecate | classifier: handful, bundle, bunch",drkameleon
把,3,50,noun,bǎ | bà,handlebar | classifier for things with handles | handle,drkameleon
把柄,7,20374,noun,bǎbǐng,handle (the part of a utensil that is easy to hold by hand) | information that yields a bargaining advantage to the other party in a lawsuit or argument; information that can be used against someone,kaikki
把关,7,24750,verb,bǎguān,to guard a pass | to check (e.g. for conformity to a standard); to keep a check on,kaikki
把手,7,8291,noun,bǎshǒu,handle; grip; knob,kaikki
把手,7,8291,verb,bǎshǒu,to hold hands,kaikki
把握,3,3068,verb,bǎwò,to grasp; to control; to seize | to have a firm hold on a situation; to be sure of something | to grasp; to know well | to grasp with one's hands; to hold | to join hands | to shake hands,kaikki
把握,3,3068,noun,bǎwò,assurance; certainty,kaikki
把戏,6,15086,noun,bǎxì,acrobatics; jugglery | cheap trick; game,kaikki
靶子,7,21978,noun,bǎzi,target (mark to shoot at),kaikki
坝,7,18700,noun,bà,dam | dike; embankment,drkameleon
爸,1,1142,noun,bà,father | dad | pa | papa,drkameleon
爸爸,1,908,noun,bàba,dad; papa | paternal uncle (father's younger brother),kaikki
霸道,6,15377,noun,bàdào,rule by might (as opposed to the way of a legitimate king who practices benevolent governance); governance in a despotic way,kaikki
霸道,6,15377,adjective,bàdào | bàdao,overbearing; high-handed | strong; potent,kaikki
霸占,7,17196,verb,bàzhàn,to forcibly occupy; to seize | to dominate,kaikki
巴不得,7,22440,verb,bābudé,to be only too anxious (to do something); to eagerly look forward to,kaikki
巴结,6,27264,verb,bājie,to kiss up to; to curry favor; to fawn on; to brownnose; to suck up | to be pregnant,kaikki
巴结,6,27264,adjective,bājie,hardworking; diligent,kaikki
巴士,4,8312,noun,bāshì,bus,kaikki
吧,1,58,particle,bā | biā | ba,"bar (loanword) (serving drinks, or providing Internet access etc) | to puff (on a pipe etc) | (onom.) bang | (modal particle indicating suggestion or surmise) | ...right? | ...OK? | ...I presume. | (onom.) smack!",drkameleon
罢工,6,8001,verb,bàgōng,to go on strike; to strike (refuse to work as protest),kaikki
罢了,6,3807,particle,bàle,that's all; only; (there's) nothing more (to it),kaikki
罢了,6,3807,verb,bàliǎo,to let pass,kaikki
罢免,7,28683,verb,bàmiǎn,to dismiss someone from office; to remove from their post,kaikki
罢休,7,17351,verb,bàxiū,to stop and give up; to abandon,kaikki
掰,7,11771,verb,bāi,to break off or break open sth with one's hands | (fig.) to break off (a relationship),drkameleon
白,1,930,noun,bái,white | snowy | blank | in vain | gratuitous | reactionary | anti-communist | funeral | vernacular | spoken lines in opera,drkameleon
白,1,930,adjective,bái,pure | bright | empty | plain | clear | free of charge,drkameleon
白,1,930,verb,bái,to make clear | to stare coldly | to write wrong character | to state | to explain,drkameleon
白白,7,10131,adverb,báibái,in vain; to no purpose; for nothing; unsuccessfully | without compensation; without payment | without any cause or reason; groundless | helplessly; having no way out,kaikki
白白,7,10131,adjective,báibái,very white,kaikki
白菜,3,16930,noun,báicài,"Various varieties of Brassica rapa, including:; napa cabbage (Brassica rapa subsp. pekinensis) | Various varieties of Brassica rapa, including:; bok choy (Brassica rapa subsp. chinensis)",kaikki
白酒,5,13749,noun,báijiǔ,baijiu (distilled liquor) | white wine | jiuniang,kaikki
白领,6,11481,noun,báilǐng,white-collar worker,kaikki
白领,6,11481,adjective,báilǐng,white-collar,kaikki
白色,2,2643,noun,báisè,white (color),kaikki
白色,2,2643,adjective,báisè,reactionary | related to plastic,kaikki
白天,1,3645,noun,báitiān,daytime; day,kaikki
百,1,2455,noun,bǎi,hundred | all kinds of,drkameleon
百,1,2455,adjective,bǎi,numerous,drkameleon
百分比,7,21781,noun,bǎifēnbǐ,percentage,kaikki
百分点,6,10677,noun,bǎifēndiǎn,percentage point,kaikki
百合,7,10056,noun,bǎihé,lily (flower or bulb) | yuri; lesbianism,kaikki
百货,4,11134,noun,bǎihuò,general merchandise,kaikki
百科全书,7,22806,noun,bǎikēquánshū,encyclopaedia,kaikki
柏树,7,38128,noun,bǎishù,cypress,kaikki
摆,4,1854,verb,bǎi,to arrange | to exhibit | to move to and fro | a pendulum,drkameleon
摆动,4,16046,verb,bǎidòng,to swing; to sway; to rock,kaikki
摆放,7,10963,verb,bǎifàng,to put; to place; to lay; to arrange,kaikki
摆平,7,16373,verb,bǎipíng,to lay something flat or evenly | to treat fairly; to be fair; to be impartial | to settle (a matter) | to lay someone flat; to punish (someone),kaikki
摆设,7,14321,verb,bǎishè,to furnish and decorate; to set out; to display,kaikki
摆设,7,14321,noun,bǎishè,decorative items; decorations; displayed item | something which is purely ornamental and without substance,kaikki
摆设,7,14321,adverb,bǎi shè | bǎi she,(fig.) sth that is merely for show,drkameleon
摆脱,4,3424,verb,bǎituō,to break away; to cast off; to discard; to escape,kaikki
败,4,4262,verb,bài,to defeat | to damage | to lose (to an opponent) | to fail | to wither,drkameleon
败坏,6,19110,verb,bàihuài,to ruin; to corrupt; to spoil,kaikki
败坏,6,19110,adjective,bàihuài,vile; nasty,kaikki
拜访,5,6619,verb,bàifǎng,to pay a visit; to visit; to call on,kaikki
拜会,7,30764,verb,bàihuì,to pay visit to a superior; to have an audience with or call on somebody holding high office,kaikki
拜见,7,24574,verb,bàijiàn,to pay visit to a superior; to have an audience with or call on somebody holding high office,kaikki
拜年,7,28932,verb,bàinián,"to exchange (Chinese) New Year's greetings; to pay someone a courtesy call on Chinese New Year's Day or shortly thereafter, usually with a present",kaikki
拜托,7,5463,verb,bàituō,to ask someone to help with something,kaikki
拜托,7,5463,interjection,bàituō,please!; I beg of you | puh-lease!; come on!,kaikki
扳,7,11169,verb,bān | pān,to pull | to turn (sth) around | to turn around (a situation) | to recoup,drkameleon
班,1,1238,noun,bān,team; class; grade | (military) squad | work shift,drkameleon
班,1,1238,interjection,bān,classifier for groups of people and scheduled transport vehicles,drkameleon
班级,3,10486,noun,bānjí,classes and grades in school,kaikki
