word,level,frequency_ranking,pos,pinyin,definitions
大家,2,189,noun,dà jiā,everyone | influential family | great expert
大家庭,7,11562,noun,dà jiā tíng,extended family | big family | harmonious group
大奖赛,5,14623,noun,dà jiǎng sài,grand prix
大街,6,3654,noun,dà jiē,street | main street
大街小巷,7,21134,idiom,dà jiē xiǎo xiàng,great streets and small alleys (idiom); everywhere in the city
大姐,4,9404,noun,dà jiě,big sister | elder sister | older sister (also polite term of address for a girl or woman slightly older than the speaker)
大惊小怪,7,16657,idiom,dà jīng xiǎo guài,to make a fuss about nothing (idiom)
大局,7,8834,noun,dà jú,overall situation | the big picture
大款,7,20068,noun,dà kuǎn,very wealthy person
大力,6,6036,noun,dà lì,energetically | vigorously
大量,2,1807,noun,dà liàng,great amount | large quantity | bulk
大楼,4,3844,noun,dà lóu,"building (a relatively large, multistory one)"
大陆,4,3855,noun,dà lù,continent; mainland
大妈,4,12138,noun,dà mā,father's elder brother's wife | aunt (affectionate term for an elderly woman)
大门,2,3619,noun,dà mén,entrance | door | gate | large and influential family
大米,6,9958,noun,dà mǐ,(husked) rice
大面积,7,20060,noun,dà miàn jī,large area | (fig.) (of a problem) (occurring) on a massive scale
大名鼎鼎,7,22163,noun,dà míng dǐng dǐng,grand reputation | renowned | famous
大模大样,7,62389,noun,dà mú dà yàng,boldly; ostentatiously | poised; self-assured
大脑,5,3478,noun,dà nǎo,brain | cerebrum
大棚,7,31236,noun,dà péng,greenhouse | polytunnel
大批,6,12318,noun,dà pī,large quantities of
大片,7,8972,adjective,dà piàn,wide expanse | vast stretch
大气,7,7850,noun,dà qì,atmosphere (surrounding the earth)
大人,2,2368,noun,dà ren,adult | grownup | title of respect toward superiors
大赛,6,2776,noun,dà sài,grand contest
大声,2,3359,noun,dà shēng,loud voice | loudly
大师,6,3232,noun,dà shī,great master | master
大使,6,5374,noun,dà shǐ,ambassador | envoy
大使馆,3,11530,noun,dà shǐ guǎn,embassy
大事,5,3503,noun,dà shì,major event | major political event (war or change of regime) | major social event (wedding or funeral)
大数据,7,1000000,noun,dà shù jù,big data (computing)
大肆,7,11304,adverb,dà sì,wantonly
大体,7,16631,adverb,dà tǐ,in general; more or less; in rough terms; basically; on the whole
大体上,7,22444,noun,dà tǐ shàng,overall | in general terms
大厅,5,3838,noun,dà tīng,hall | lounge
大同小异,7,31466,adjective,dà tóng xiǎo yì,virtually the same
大象,5,8819,noun,dà xiàng,elephant
大小,2,3641,noun,dà xiǎo,dimension | magnitude | size | measurement | large and small | at any rate | adults and children | consideration of seniority
大型,4,3051,noun,dà xíng,large | large-scale
大熊猫,5,21111,noun,dà xióng māo,giant panda (Ailuropoda melanoleuca)
大选,7,9545,noun,dà xuǎn,general election
大学,1,814,noun,dà xué,university | college
大学生,1,4422,noun,dà xué shēng,university student | college student
大雁,7,47811,noun,dà yàn,wild goose
大爷,4,8931,noun,dà ye | dà yé,arrogant idler | self-centered show-off | (coll.) father's older brother | uncle | term of respect for older man
大衣,2,5821,noun,dà yī,overcoat | topcoat | cloak
大意,7,13433,noun,dà yì | dà yi,general idea | main idea
大有可为,7,34481,idiom,dà yǒu kě wéi,with great prospects for the future (idiom); well worth doing
大于,5,9659,noun,dà yú,greater than; bigger than; more than
大约,3,2186,adverb,dà yuē,approximately | probably
大致,5,8369,adverb,dà zhì,more or less; roughly; approximately
大众,4,3665,noun,dà zhòng,the masses | the great bulk of the population
大自然,2,8020,noun,dà zì rán,nature (the natural world)
大宗,7,18180,noun,dà zōng,large amount | staple | influential family of long standing
呆,5,1485,adjective,dāi,foolish | stupid | expressionless
歹徒,7,8043,noun,dǎi tú,evildoer | malefactor | gangster | hoodlum
逮,7,8420,noun,dǎi | dài,(coll.) to catch | (literary) to arrest | until
逮捕,7,3705,verb,dài bǔ,to arrest | to apprehend
代,3,1458,verb,dài,to substitute | to act on behalf of others | to replace
代表,3,644,noun,dài biǎo,representative | delegate | on behalf of
代表团,3,12795,noun,dài biǎo tuán,delegation
代号,7,10412,noun,dài hào,code name
代价,5,3030,noun,dài jià,price | cost
代理,5,3966,verb,dài lǐ,to act on behalf of sb in a responsible position | to act as an agent or proxy
代理人,7,8064,noun,dài lǐ rén,agent
代替,4,4167,verb,dài tì,to replace | to take the place of
代言人,7,9209,noun,dài yán rén,spokesperson
带,2,177,noun,dài,band | belt | girdle | ribbon | tire | area | zone | region
带动,3,12235,verb,dài dòng,to spur; to provide impetus; to drive
带队,7,14537,verb,dài duì,to lead a team | to lead a group
带来,2,677,verb,dài lái,to bring
带领,3,4056,verb,dài lǐng,to guide | to lead
带路,7,15469,verb,dài lù,to lead the way; to guide; to show the way
带头,7,10484,verb,dài tóu,to take the lead; to be the first; to set an example
带头人,7,36083,noun,dài tóu rén,leader
带有,5,5699,verb,dài yǒu,"to have as a feature or characteristic; to have an element of (confidence, sweetness, malevolence etc); to carry (a pathogen, connotation etc)"
待,5,1207,verb,dāi | dài,to stay | to wait | to treat | to deal with | to need | about to
待会儿,6,16373,adverb,dāi huì r,in a moment | later
待遇,4,4791,noun,dài yù,treatment | salary | status | rank
怠工,7,54646,verb,dài gōng,to slacken off in one's work | to go slow (as a form of strike)
怠慢,7,24707,verb,dài màn,to slight | to neglect
贷款,5,2589,noun,dài kuǎn,a loan
袋,4,2912,noun,dài,pouch | bag | sack | pocket
戴,4,1802,verb,dài,"to put on or wear (glasses, hat, gloves etc) | to respect | to bear | to support"
单,4,931,noun,dān,bill | list | form | single | sole | odd number
单薄,7,21499,adjective,dān bó,weak | frail | thin
单边,7,54775,noun,dān biān,unilateral
单纯,4,4715,adjective,dān chún,simple | pure
单打,6,16439,noun,dān dǎ,singles (in sports)
单调,4,12994,noun,dān diào,monotonous
单独,4,3019,adverb,dān dú,alone | by oneself
单方面,7,19838,noun,dān fāng miàn,unilateral
单身,7,2710,noun,dān shēn,unmarried | single
单位,2,2350,noun,dān wèi,"unit (of measure) | unit (group of people as a whole) | work unit (place of employment, esp. in the PRC prior to economic reform)"
单一,5,10541,noun,dān yī,single | sole
单元,3,7926,noun,dān yuán,unit (forming an entity) | element | (in a residential building) entrance or staircase
担,7,5380,verb,dàn | dān,to undertake | to carry | to shoulder | to take responsibility
担保,4,4985,verb,dān bǎo,to guarantee | to vouch for
担当,7,11201,verb,dān dāng,to take upon oneself | to assume
担负,7,16260,verb,dān fù,to shoulder | to bear | to undertake
担任,4,4026,verb,dān rèn,to hold a governmental office or post | to assume office of | to take charge of | to serve as
担心,4,277,adjective,dān xīn,anxious | worried | uneasy
担忧,6,5967,verb,dān yōu,to worry | to be concerned
担子,7,19039,noun,dàn zi,carrying pole and the loads on it | burden | task | responsibility
耽搁,7,14458,verb,dān ge,to tarry | to delay | to stop over
耽误,7,7445,verb,dān wu,to delay | to hold up | to waste time | to interfere with
胆,5,5783,noun,dǎn,"gall bladder | courage | guts | gall | inner container (e.g. bladder of a football, inner container of a thermos)"
胆怯,7,17934,noun,dǎn qiè,timidity
胆小,5,12847,noun,dǎn xiǎo,cowardice
胆小鬼,5,22942,noun,dǎn xiǎo guǐ,coward
胆子,7,9776,noun,dǎn zi,courage | nerve | guts
但,2,55,adverb,dàn,but; yet; however; still | merely; only; just
但是,2,115,adverb,dàn shì,but; however
但愿,7,5713,idiom,dàn yuàn,if only (sth were possible)
诞辰,7,34026,noun,dàn chén,birthday
诞生,6,4971,verb,dàn shēng,to be born
弹,5,2520,noun,dàn | tán,crossball | bullet | shot | shell | ball | elastic (of materials)
弹性,7,8792,noun,tán xìng,flexibility | elasticity
淡,4,4795,adjective,dàn,insipid | weak | mild | tasteless | indifferent
淡化,7,21065,verb,dàn huà,to water down | to play down | to trivialize | to weaken | to desalinate
淡季,7,28264,noun,dàn jì,off season | slow business season
淡水,6,17985,noun,dàn shuǐ,potable water (water with low salt content) | fresh water
蛋,2,1539,noun,dàn,egg | oval-shaped thing
蛋白质,7,7228,noun,dàn bái zhì,protein
蛋糕,5,2650,noun,dàn gāo,cake
当,2,155,noun,dàng | dāng,(onom.) dong | ding dong (bell) | manage | withstand | during | match equally | obstruct | on the spot | right
当场,5,5385,noun,dāng chǎng,at the scene | on the spot
当成,6,3853,verb,dàng chéng,to consider as; to take to be
当初,3,2878,adverb,dāng chū,at that time | originally
当代,5,8383,noun,dāng dài,the present age | the contemporary era
当地,3,1609,noun,dāng dì,local
当即,7,20351,adverb,dāng jí,at once
当今,7,7843,noun,dāng jīn,current | nowadays
当面,7,9152,verb,dāng miàn,to sb's face
当年,5,2959,pronoun,dàng nián | dāng nián,in those days | during that time
当前,5,5108,noun,dāng qián,the present time
当然,3,423,noun,dāng rán,only natural
当日,7,13746,noun,dāng rì | dàng rì,on that day | the same day
当时,2,505,adverb,dāng shí | dàng shí,then | at that time | while | at once
当事人,7,3517,noun,dāng shì rén,persons involved or implicated; party (to an affair)
当天,6,3628,noun,dāng tiān | dàng tiān,on that day | the same day
当晚,7,4902,noun,dàng wǎn | dāng wǎn,on that evening | the same evening
当务之急,7,14997,noun,dāng wù zhī jí,top priority job | matter of vital importance
当下,7,9363,adverb,dāng xià,immediately | at once | at that moment | at the moment
当心,7,9615,verb,dāng xīn,to take care | to look out
当选,5,6688,verb,dāng xuǎn,to be elected | to be selected
当着,7,11394,adverb,dāng zhe,in front of | in the presence of
当真,7,7584,verb,dàng zhēn,to take seriously
当之无愧,7,18312,idiom,dāng zhī wú kuì,"fully deserving, without any reservations (idiom); entirely worthy (of a title, honor etc)"
当中,3,2374,noun,dāng zhōng,among | in the center
当众,7,13815,adverb,dāng zhòng,in public
当作,6,3444,verb,dàng zuò,to treat as | to regard as
挡,5,3211,verb,dàng | dǎng,to resist | to obstruct | to hinder | to keep off | to block (a blow) | to get in the way of | to arrange | to put in order
党,6,2047,noun,dǎng,party | association | club | society
荡漾,7,24710,verb,dàng yàng,to ripple | to undulate | to ripple | to undulate
档,6,3110,noun,dàng | dǎng,"official records | grade (of goods) | file | records | shelves | slot | gap | crosspiece | classifier for crosspieces | classifier for events, affairs etc"
档案,6,2512,noun,dàng àn,file | record | archive
档次,7,10727,noun,dàng cì,grade | class | quality | level
刀,3,1285,noun,dāo,knife | blade | single-edged sword | cutlass | (slang) dollar (loanword) | classifier for sets of one hundred sheets (of paper) | classifier for knife cuts or stabs
导弹,7,3955,noun,dǎo dàn,(guided) missile
导航,7,7522,noun,dǎo háng,navigation
导火索,7,22497,noun,dǎo huǒ suǒ,fuse (for explosive)
导师,7,7057,noun,dǎo shī,tutor | teacher | academic advisor
导向,7,15065,verb,dǎo xiàng,to be oriented towards
导演,3,2109,verb,dǎo yǎn,to direct
导游,4,10258,noun,dǎo yóu,tour guide | guidebook
导致,4,1268,verb,dǎo zhì,to lead to | to create | to cause | to bring about
岛,6,1816,noun,dǎo,island
岛屿,7,13216,noun,dǎo yǔ,island
捣乱,7,12996,verb,dǎo luàn,to disturb | to look for trouble | to stir up a row | to bother sb intentionally
到,1,29,verb,dào,to reach; to arrive | to leave for; to go to | to (a place); until (a time); up to (a point)
到处,2,2171,adverb,dào chù,everywhere
到达,3,2131,verb,dào dá,to reach; to arrive
到底,3,741,adverb,dào dǐ,finally | in the end | after all
到来,5,2807,verb,dào lái,to arrive
到期,6,8666,verb,dào qī,to fall due (loan etc) | to expire (visa etc) | to mature (investment bond etc)
到头来,7,13609,adverb,dào tóu lái,in the end | finally | as a result
到位,7,5078,verb,dào wèi,to get to the intended location | to be in place | to be in position
倒,2,780,verb,dào | dǎo,to fall; to collapse; to lie horizontally | to fail; to go bankrupt | to overthrow | to change (trains or buses) | to move around | to resell at a profit | to invert; to place upside down or frontside back | to pour out | to tip out; to dump | to go backward
倒闭,4,11967,verb,dǎo bì,to go bankrupt | to close down
倒车,4,16831,verb,dào chē | dǎo chē,"to change buses, trains etc | to reverse (a vehicle) | to drive backwards"
倒计时,7,10111,verb,dào jì shí,to count down
倒卖,7,18504,verb,dǎo mài,to resell at a profit | to speculate
倒霉,7,5252,verb,dǎo méi,to have bad luck | to be out of luck
倒是,5,4297,adverb,dào shi,contrary to what one might expect
倒数,7,6083,verb,dào shǔ | dào shù,to count backwards (from 10 down to 0) | to count down
倒塌,7,11092,verb,dǎo tā,to collapse (of building) | to topple over
倒下,7,6803,verb,dǎo xià,to collapse | to topple over
悼念,7,14306,verb,dào niàn,to grieve
盗,7,5640,verb,dào,to steal | to rob | to plunder
盗版,6,13714,noun,dào bǎn,pirated | illegal
盗窃,7,5770,verb,dào qiè,to steal
道,2,478,noun,dào,"road | path | principle | truth | morality | reason | skill | method | Dao (of Daoism) | classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process | (old) circuit (administrative division)"
道德,5,2445,noun,dào dé,virtue | morality | ethics
道教,6,30866,noun,Dào jiào,Taoism | Daoism (Chinese system of beliefs)
道具,7,7621,noun,dào jù,prop (theater) | paraphernalia | (gaming) item | artifact
道理,2,2521,noun,dào li,reason | argument | sense | principle | basis | justification
道路,2,2367,noun,dào lù,road | path | way
道歉,6,3168,verb,dào qiàn,to apologize
稻草,7,16234,noun,dào cǎo,rice straw
稻谷,6,34191,noun,dào gǔ,unhusked rice | paddy
德,7,1174,noun,dé,virtue | morality | ethics | kindness | favor | character | kind
地,1,132,noun,dì | de,"-ly | structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct | earth | ground | field | place | land"
地板,6,3788,noun,dì bǎn,floor
地步,7,6037,noun,dì bù,stage | degree (to which a situation has evolved) | situation | leeway
地带,5,6317,noun,dì dài,zone
地道,7,5958,noun,dì dào | dì dao,tunnel | causeway
地点,1,1921,noun,dì diǎn,place | site | location | venue
地段,7,13708,noun,dì duàn,section | district
地方,1,254,noun,dì fang | dì fāng,region | regional (away from the central administration) | local | area | place | space | room | territory
地理,7,6677,noun,dì lǐ,geography
地面,4,3289,noun,dì miàn,floor | ground | surface
地名,6,14919,noun,dì míng,place name | toponym
地球,2,1971,noun,dì qiú,the earth
地区,3,1123,noun,dì qū,local | regional | region | area
地上,1,2185,adverb,dì shang,on the ground
地势,6,26674,noun,dì shì,terrain | topography relief
地毯,7,6563,noun,dì tǎn,carpet | rug
地铁,2,3046,noun,dì tiě,underground railway; subway | subway train
地铁站,2,11176,noun,dì tiě zhàn,subway station
地图,1,3548,noun,dì tú,map
地位,4,2771,noun,dì wèi,position | status | place
地下,4,2908,noun,dì xià,underground | subterranean | covert
地下室,6,9373,noun,dì xià shì,basement | cellar
地下水,7,18186,noun,dì xià shuǐ,groundwater
地形,5,11043,noun,dì xíng,topography | terrain | landform
地狱,7,5402,noun,dì yù,hell | infernal | underworld | (Buddhism) Naraka
地域,7,10905,noun,dì yù,area | district | region
地震,5,3938,noun,dì zhèn,earthquake
地址,4,1067,noun,dì zhǐ,address
地质,7,11668,noun,dì zhì,geology
的,1,1,adjective,dì | dí | dī | de,of; ~'s (possessive particle)
的话,2,2226,idiom,de huà,if (coming after a conditional clause)
的确,4,1392,adverb,dí què,really | indeed
得,2,58,verb,děi | de | dé,to obtain | to get | to gain | to catch (a disease) | to allow | to permit | to have to | ought to | to need to
得不偿失,7,30150,idiom,dé bù cháng shī,the gains do not make up for the losses (idiom)
得出,2,5401,verb,dé chū,to obtain (a result); to arrive at (a conclusion)
得当,7,15462,adjective,dé dàng,appropriate | suitable
得到,1,308,verb,dé dào,to get | to obtain | to receive
得分,3,3694,verb,dé fēn,to score
得了,5,3720,noun,dé le | dé liǎo,all right!
得力,7,14265,adjective,dé lì,able | capable | competent | efficient
得失,7,16732,noun,dé shī,gains and losses | success and failure | merits and demerits
得手,7,13194,verb,dé shǒu,to go smoothly; to come off; to succeed
得体,7,14324,adjective,dé tǐ,appropriate to the occasion | fitting
得天独厚,7,40643,idiom,dé tiān dú hòu,blessed by heaven (idiom)
得以,5,5437,idiom,dé yǐ,able to
得益于,7,11657,verb,dé yì yú,to benefit from
得意,4,6279,adjective,dé yì,proud of oneself | pleased with oneself | complacent
得知,7,3242,verb,dé zhī,to find out | to learn of
得罪,7,9103,verb,dé zuì | dé zui,to commit an offense | to violate the law | to offend sb | to make a faux pas
灯,2,2001,noun,dēng,lamp | light | lantern
灯光,4,4731,noun,dēng guāng,(stage) lighting | light
灯笼,7,17051,noun,dēng lóng,lantern
灯泡,7,11742,noun,dēng pào,light bulb | third-wheel or unwanted third party spoiling a couple's date (slang)
登,4,2782,verb,dēng,to scale (a height) | to ascend | to mount | to publish or record | to enter (e.g. in a register) | to press down with the foot | to step or tread on | to put on (shoes or trousers) (dialect)
登机,7,10431,verb,dēng jī,to board a plane
登机牌,5,22658,noun,dēng jī pái,boarding pass
登记,4,2377,verb,dēng jì,to register (one's name)
登陆,7,4583,verb,dēng lù,to land | to come ashore | to make landfall (of typhoon etc)
登录,4,6988,verb,dēng lù,to register | to log in
登山,4,11767,verb,dēng shān,to climb a mountain
蹬,7,12339,verb,dēng,to step on | to tread on | to wear (shoes)
等,1,83,noun,děng,class | rank | grade | et cetera
等待,3,1567,verb,děng dài,to wait; to wait for
等到,2,4305,verb,děng dào,to wait until
等候,5,6248,verb,děng hòu,to wait | to wait for
等级,5,5289,noun,děng jí,grade | rank | status
等于,2,3464,verb,děng yú,to equal | to be tantamount to
凳子,7,12912,noun,dèng zi,stool | small seat
瞪,7,7103,verb,dèng,to open (one's eyes) wide | to stare at | to glare at
低,2,951,adjective,dī,low
低调,7,5045,noun,dī diào,low pitch | quiet (voice) | low-key | low-profile
低估,7,7942,verb,dī gū,to underestimate; to underrate
低谷,7,13927,noun,dī gǔ,valley | trough (as opposed to peaks) | fig. low point | lowest ebb | nadir of one's fortunes
低价,7,10967,noun,dī jià,low price
低迷,7,17114,verb,dī mí,blurred (landscape etc)
低碳,7,1000000,noun,dī tàn,(attributive) low-carbon; low-carb (diet)
低头,6,7321,verb,dī tóu,to bow the head | to yield | to give in
低温,6,10778,noun,dī wēn,low temperature
低下,7,8424,noun,dī xià,low status
低于,5,6208,verb,dī yú,to be lower than
堤,7,9859,noun,dī,dike
堤坝,7,34295,noun,dī bà,dam | dike
滴,6,2035,noun,dī,a drop
敌人,4,1731,noun,dí rén,enemy
敌视,6,25245,noun,dí shì,hostile | malevolence | antagonism
笛子,7,23092,noun,dí zi,bamboo flute
底,4,849,idiom,dǐ | de,(equivalent to 的 as possessive particle)
底层,7,11996,noun,dǐ céng,ground or first floor | bottom (of a pile) | lowest rung (of society)
底下,3,5997,noun,dǐ xia,the location below sth
底线,7,5683,noun,dǐ xiàn,bottom line; the limit of what one is prepared to accept | (sports) baseline | (sewing) under thread | spy; informer; plant
底蕴,7,34522,noun,dǐ yùn,inside information | concrete details
底子,7,26414,noun,dǐ zi,base | foundation | bottom
抵触,7,17615,verb,dǐ chù,to conflict | to contradict
抵达,6,4566,verb,dǐ dá,to arrive | to reach (a destination)
抵挡,7,11051,verb,dǐ dǎng,to resist | to hold back | to stop | to ward off | to withstand
抵抗,6,4384,verb,dǐ kàng,to resist
抵消,7,16811,verb,dǐ xiāo,to counteract | to cancel out | to offset
抵押,7,6429,verb,dǐ yā,to provide (an asset) as security for a loan | to put up collateral
抵御,7,12366,verb,dǐ yù,to resist | to withstand
抵制,7,9083,verb,dǐ zhì,to resist | to boycott | to refuse (to cooperate) | to reject
弟,1,6568,noun,dì | tì,younger brother | junior male | I (modest word in letter)
弟弟,1,2424,noun,dì di,younger brother
弟子,7,13971,noun,dì zǐ,disciple; follower
帝国,7,5025,noun,dì guó,empire | imperial
帝国主义,7,13706,noun,dì guó zhǔ yì,imperialism
递,5,7319,verb,dì,to hand over; to pass on; to deliver
递给,5,8159,verb,dì gěi,to hand it (i.e. the aforementioned item) to (sb)
递交,7,11091,verb,dì jiāo,to present | to give | to hand over | to hand in | to lay before
递增,6,40644,verb,dì zēng,to increase by degrees
第,1,962,noun,dì,"(prefix indicating ordinal number, as in 六 ""sixth"") | (literary) grades in which successful candidates in the imperial examinations were placed | (old) residence of a high official"
第二,1,527,noun,dì èr,second | number two | next | secondary
第一,2,223,noun,dì yī,first | number one | primary
第一手,7,21139,noun,dì yī shǒu,first-hand
第一线,7,24169,noun,dì yī xiàn,front line | forefront
颠簸,6,15953,verb,diān bǒ,"to be jolted around (car on a bumpy road, boat on a rough sea, aircraft experiencing turbulence)"
颠倒,7,11865,verb,diān dǎo,to turn upside down | to reverse
颠覆,7,10966,verb,diān fù,to topple (i.e. knock over) | to capsize | to undermine | to subvert
巅峰,7,13050,noun,diān fēng,summit | apex | pinnacle (of one's career etc) | peak (of a civilization etc)
典范,7,12781,noun,diǎn fàn,model | example | paragon
典礼,5,5455,noun,diǎn lǐ,celebration | ceremony
典型,4,3251,noun,diǎn xíng,model | typical case | archetype | representative
点,1,58,noun,diǎn,point | dot | drop | speck | o'clock | point (in space or time) | (old) one fifth of a two-hour watch 更 | dot stroke in Chinese characters | classifier for items
点火,7,11102,verb,diǎn huǒ,to ignite | to light a fire | to agitate | to start an engine
点击率,7,1000000,noun,diǎn jī lu:4,click-through rate (CTR) (Internet)
点名,4,11424,noun,diǎn míng,roll call
点评,7,11757,verb,diǎn píng,to comment
点燃,5,6958,verb,diǎn rán,to ignite | to set on fire
点头,2,6136,verb,diǎn tóu,to nod
点心,7,8628,noun,diǎn xin,light refreshments | pastry | dim sum (in Cantonese cooking) | dessert
点缀,7,15531,verb,diǎn zhuì,to decorate | to adorn
点子,7,9273,noun,diǎn zi,spot | point | dot | speck | drop (of liquid) | droplet | point (of argument) | idea | crux | indication | pointer
电,1,1027,noun,diàn,lightning | electricity | electric (bound form) | phone call or telegram etc
电报,7,10309,noun,diàn bào,telegram | cable | telegraph
电车,6,14461,noun,diàn chē,trolleybus
电池,5,3997,noun,diàn chí,battery
电灯,4,20337,noun,diàn dēng,electric light
电动,6,8507,noun,diàn dòng,electric-powered
电动车,4,26291,noun,diàndòngchē,Electric vehicle
电饭锅,5,88712,noun,diàn fàn guō,electric rice cooker
电话,1,359,noun,diàn huà,telephone | phone call | phone number
电力,6,3716,noun,diàn lì,electrical power | electricity
电铃,7,64108,noun,diàn líng,electric bell
电脑,1,946,noun,diàn nǎo,computer
电器,6,7826,noun,diàn qì,(electrical) appliance | device
电视,1,779,noun,diàn shì,television; TV
电视机,1,6649,noun,diàn shì jī,television set
电视剧,3,4222,noun,diàn shì jù,TV series | TV drama
电视台,3,3940,noun,diàn shì tái,television station
电台,3,5542,noun,diàn tái,transmitter-receiver | broadcasting station | radio station
电梯,4,3894,noun,diàn tī,elevator | escalator
电网,7,11688,noun,diàn wǎng,electricity grid; power grid | electrified wire netting
电线,7,8932,noun,diàn xiàn,wire | power cord
电信,7,11442,noun,diàn xìn,telecommunications
电讯,7,18682,noun,diàn xùn,telecommunications | telecom
电影,1,546,noun,diàn yǐng,movie; film
电影院,1,7945,noun,diàn yǐng yuàn,cinema; movie theater
电源,4,6030,noun,diàn yuán,electric power source
电子,3,1874,noun,diàn zǐ,electronic | electron (particle physics)
电子版,5,48366,noun,diàn zǐ bǎn,electronic edition | digital version
电子邮件,3,9822,noun,diàn zǐ yóu jiàn,email
店,2,732,noun,diàn,inn; old-style hotel | (bound form) shop; store
垫,7,5968,noun,diàn,pad | cushion | mat
垫底,7,14034,verb,diàn dǐ,to put sth on the bottom | to eat sth to tide oneself over until mealtime | to lay the foundation | to come last in the rankings
垫子,7,20740,noun,diàn zi,cushion; mat; pad
惦记,7,13212,verb,diàn jì,to think of | to keep thinking about | to be concerned about
淀粉,7,17407,noun,diàn fěn,starch; amylum (C6H10O5)n
奠定,7,19177,verb,diàn dìng,to establish | to fix | to settle
殿堂,7,17143,noun,diàn táng,palace | hall | temple buildings
刁难,7,23363,verb,diāo nàn,to be hard on sb; to deliberately make things difficult
叼,7,9777,verb,diāo,to hold with one's mouth (as a smoker with a cigarette or a dog with a bone)
雕,7,10655,verb,diāo,to carve | to engrave
雕刻,7,12877,verb,diāo kè,to carve | to engrave
雕塑,7,7978,noun,diāo sù,a statue | a Buddhist image | sculpture
吊,6,4734,verb,diào,to suspend | to hang up | to hang a person | to lament | to condole with
吊销,7,14932,verb,diào xiāo,to suspend (an agreement) | to revoke
钓,5,7545,idiom,diào,to fish with a hook and bait
钓鱼,7,8342,verb,diào yú,to fish (with line and hook) | to dupe
调,3,1481,verb,diào | tiáo,to transfer | to move (troops or cadres) | to investigate | to enquire into | to harmonize | to reconcile | to blend | to suit well | to adjust | to regulate | to season (food) | to provoke | to incite
调查,3,512,noun,diào chá,investigation | inquiry | survey | (opinion) poll
调动,5,7622,verb,diào dòng,to transfer | to maneuver (troops etc) | to mobilize | to bring into play
调度,7,11631,verb,diào dù,"to dispatch (vehicles, staff etc) | to schedule | to manage"
调和,6,18915,adjective,tiáo hé,harmonious
调剂,6,21962,verb,tiáo jì,to adjust | to balance | to make up a medical prescription
调节,5,6641,verb,tiáo jié,to adjust | to regulate | to harmonize | to reconcile (accountancy etc)
调解,5,10413,verb,tiáo jiě,to mediate | to bring parties to an agreement
调侃,7,19087,verb,tiáo kǎn,to ridicule | to tease | to mock
调控,7,22584,verb,tiáo kòng,to regulate | to control
调料,7,14059,noun,tiáo liào,condiment | seasoning | flavoring
调皮,4,12299,adjective,tiáo pí,naughty | mischievous | unruly
调试,7,16893,verb,tiáo shì,to debug | to adjust components during testing
调研,6,12805,verb,diào yán,to investigate and research
调整,3,2032,verb,tiáo zhěng,to adjust
掉,2,549,verb,diào,"to fall | to drop | to lag behind | to lose | to go missing | to reduce | to lose (value, weight etc) | to wag | to swing | to turn | to change | to exchange | to swap | to show off | to shed (hair)"
掉队,7,31436,verb,diào duì,to fall behind | to drop out
掉头,7,11345,verb,diào tóu,to turn one's head | to turn round | to turn about
爹,7,4503,noun,diē,dad
跌,6,4284,verb,diē,to fall | to tumble | to trip | (of prices etc) to drop
迭起,7,61816,adverb,dié qǐ,continuously arising
叠,7,7389,verb,dié,to fold | to fold over in layers | to furl | to layer | to pile up | to repeat | to duplicate
丁,7,3211,noun,dīng,"male adult | the 4th of the 10 Heavenly Stems 干 | fourth (used like ""4"" or ""D"") | small cube of meat or vegetable | (literary) to encounter | (archaic) ancient Chinese compass point: 195° | (chemistry) butyl"
叮嘱,7,23273,verb,dīng zhǔ,to warn repeatedly | to urge | to exhort again and again
盯,7,2464,verb,dīng,to watch attentively | to fix one's attention on | to stare at | to gaze at
钉,7,5126,noun,dīng | dìng,nail
钉子,7,14639,noun,dīng zi,nail | snag | saboteur
顶,4,1623,noun,dǐng,"apex | crown of the head | top | roof | most | (slang) to ""bump"" a forum thread to raise its profile | classifier for headwear, hats, veils etc"
顶多,7,15420,adverb,dǐng duō,at most | at best
顶级,7,5572,adjective,dǐng jí,top-notch; first-rate
顶尖,7,9011,noun,dǐng jiān,peak | apex | world best | number one | finest (competitors) | top (figures in a certain field)
订,3,2991,verb,dìng,to agree | to conclude | to draw up | to subscribe to (a newspaper etc) | to order
订单,7,7820,noun,dìng dān,(purchase) order
订购,7,11102,verb,dìng gòu,to place an order | to subscribe
订婚,7,10745,verb,dìng hūn,to get engaged
订立,7,26730,verb,dìng lì,"to conclude (treaty, contract, agreement etc) | to set up (a rule etc)"
定,4,586,verb,dìng,to set | to fix | to determine | to decide | to order
定价,6,13764,verb,dìng jià,to set a price | to fix a price
定金,7,15438,verb,dìng jīn,down payment
定居,7,13309,verb,dìng jū,"to settle (in some city, country etc) | to take up residence"
定论,7,13353,noun,dìng lùn,final conclusion | accepted argument
定期,3,7535,adverb,dìng qī,at set dates
定时,6,14319,verb,dìng shí,to fix a time
定为,7,19856,noun,dìng wèi,set to
定位,6,3300,verb,dìng wèi,to orientate | to position | to categorize (as) | to characterize (as)
定向,7,14918,verb,dìng xiàng,to orientate
定心丸,7,38626,noun,dìng xīn wán,tranquilizer | sth that sets one's mind at ease
