word,level,frequency_ranking,pos,pinyin,definitions
霸道,6,15377,noun,bà dào,the Way of the Hegemon | despotic rule | rule by might | evil as opposed to the Way of the King 王道 | tyranny | potent
霸占,7,17196,verb,bà zhàn,to occupy by force | to seize | to dominate
巴不得,7,22440,adjective,bā bu de,(coll.) to be eager for
巴结,6,27264,verb,bā jie,to fawn on | to curry favor with | to make up to
巴士,4,8312,noun,bā shì,bus (loanword) | motor coach
吧,1,58,noun,ba | biā | bā,"bar (loanword) (serving drinks, or providing Internet access etc) | (modal particle indicating suggestion or surmise) | ...right? | (onom.) smack!"
罢工,6,8001,noun,bà gōng,a strike
罢了,6,3807,interjection,bà le | bà liǎo,"a modal particle indicating (that's all, only, nothing much) | a modal particle indicating (don't mind it, ok)"
罢免,7,28683,verb,bà miǎn,to remove sb from their post | to dismiss
罢休,7,17351,verb,bà xiū,to give up | to abandon (a goal etc) | to let sth go
掰,7,11771,verb,bāi,to break off or break open sth with one's hands
白,1,930,noun,bái,white | snowy | blank | gratuitous | reactionary | funeral | vernacular | spoken lines in opera
白白,7,10131,adverb,bái bái,in vain
白菜,3,16930,noun,bái cài,Chinese cabbage | pak choi
白酒,5,13749,noun,bái jiǔ,"baijiu, a spirit usually distilled from sorghum"
白领,6,11481,adjective,bái lǐng,white-collar
白色,2,2643,noun,bái sè,white | fig. reactionary
白天,1,3645,noun,bái tiān,daytime | during the day | day
百,1,2455,noun,bǎi,hundred | all kinds of
百分比,7,21781,noun,bǎi fēn bǐ,percentage
百分点,6,10677,noun,bǎi fēn diǎn,percentage point
百合,7,10056,noun,bǎi hé,lily
百货,4,11134,noun,bǎi huò,general merchandise
百科全书,7,22806,noun,bǎi kē quán shū,encyclopedia
柏树,7,38128,noun,bǎi shù,cypress tree
摆,4,1854,verb,bǎi,to arrange | to exhibit | to move to and fro
摆动,4,16046,verb,bǎi dòng,to sway | to swing | to move back and forth | to oscillate
摆放,7,10963,verb,bǎi fàng,to set up; to arrange; to lay out
摆平,7,16373,verb,bǎi píng,to be fair | to be impartial | to settle (a matter etc)
摆设,7,14321,verb,bǎi shè | bǎi she,to set out | to display | to furnish (a room or house)
摆脱,4,3424,verb,bǎi tuō,to break away from | to cast off (old ideas etc) | to get rid of | to break away (from) | to break out (of) | to free oneself from | to extricate oneself
败,4,4262,verb,bài,to defeat | to damage | to lose (to an opponent) | to fail | to wither
败坏,6,19110,verb,bài huài,to ruin | to corrupt | to undermine
拜访,5,6619,verb,bài fǎng,to pay a visit; to call on
拜会,7,30764,adverb,bài huì,(often used in the context of diplomacy) to meet with; to pay a visit to; to call on
拜见,7,24574,verb,bài jiàn,to pay a formal visit | to call to pay respects | to meet one's senior or superior
拜年,7,28932,verb,bài nián,to pay a New Year call | to wish sb a Happy New Year
拜托,7,5463,verb,bài tuō,to request sb to do sth
扳,7,11169,verb,pān | bān,to pull | to turn (sth) around | to turn around (a situation) | to recoup
班,1,1238,noun,bān,team; class; grade | (military) squad | work shift | classifier for groups of people and scheduled transport vehicles
班级,3,10486,noun,bān jí,class (group of students) | grade (in school)
班长,2,9622,noun,bān zhǎng,class monitor | squad leader | team leader
班主任,5,15965,noun,bān zhǔ rèn,teacher in charge of a class
颁布,7,12004,verb,bān bù,"to issue | to proclaim | to enact (laws, decrees etc)"
颁发,7,8003,verb,bān fā,to issue | to promulgate | to award
颁奖,7,5383,verb,bān jiǎng,to confer an award
斑点,7,13316,noun,bān diǎn,spot | stain | speckle
斑纹,6,45968,noun,bān wén,stripe | streak
搬,3,2254,verb,bān,to move (i.e. relocate oneself) | to move (sth relatively heavy or bulky) | to shift | to copy indiscriminately
搬家,3,7790,verb,bān jiā,to move house; to relocate | to remove (sth)
搬迁,7,14777,verb,bān qiān,to move | to relocate
板,3,1759,noun,pàn | bǎn,board | plank | plate | shutter | table tennis bat | clappers (music) | accented beat in Chinese music
板块,7,11235,noun,bǎn kuài,slab | (geology) tectonic plate | (fig.) sector (of the stock market or of industry) | (economic) bloc
版,5,1545,noun,bǎn,a register | block of printing | edition | version | page
版本,6,4464,noun,bǎn běn,version | edition | release
办,2,691,verb,bàn,to do | to manage | to handle | to go about | to run | to set up | to deal with
办不到,7,1000000,adjective,bàn bu dào,impossible | unable to accomplish
办法,2,538,noun,bàn fǎ,means | method | way (of doing sth)
办公,6,5310,verb,bàn gōng,to handle official business | to work (esp. in an office)
办公室,2,1162,noun,bàn gōng shì,office | business premises | bureau
办理,3,6575,verb,bàn lǐ,to handle; to transact; to conduct
办事,4,4819,verb,bàn shì,to handle (affairs) | to work
办事处,6,11821,noun,bàn shì chù,office | agency
办学,6,39436,verb,bàn xué,to run a school
半,1,727,noun,bàn,half | semi- | (after a number) and a half
半边天,7,37858,noun,bàn biān tiān,half the sky | women of the new society | womenfolk
半场,7,2794,noun,bàn chǎng,half of a game or contest | half-court
半岛,7,12843,noun,bàn dǎo,peninsula
半决赛,6,10520,noun,bàn jué sài,semifinals
半路,7,15433,noun,bàn lù,halfway | midway
半年,1,37795,noun,bàn nián,half a year
半数,7,11646,noun,bàn shù,half the number; half
半天,1,7467,noun,bàn tiān,half of the day | a long time | midair
半途而废,7,25389,verb,bàn tú ér fèi,to give up halfway (idiom); leave sth unfinished
半信半疑,7,40048,noun,bàn xìn bàn yí,half doubting | dubious | skeptical
半夜,2,4212,noun,bàn yè,midnight
半真半假,7,70634,idiom,bàn zhēn bàn jiǎ,(idiom) half true and half false
伴,7,3537,noun,bàn,partner; companion; comrade; associate
伴侣,7,6851,noun,bàn lu:3,companion | mate | partner
伴随,7,6047,verb,bàn suí,to accompany | to follow | to occur together with
伴奏,7,13684,verb,bàn zòu,to accompany (musically)
拌,7,9875,verb,bàn,to mix | to mix in | to toss (a salad)
扮,7,6738,verb,bàn,to disguise oneself as | to dress up | to play (a role) | to put on (an expression)
扮演,5,3471,verb,bàn yǎn,to play the role of | to act
帮,1,395,verb,bāng,to help | to assist | to support
帮忙,1,1860,verb,bāng máng,to help | to lend a hand | to do a favor | to do a good turn
帮手,7,10534,noun,bāng shǒu,helper; assistant
帮助,2,499,noun,bāng zhù,assistance; aid
绑,7,5003,verb,bǎng,to tie | to kidnap
绑架,7,3992,verb,bǎng jià,to kidnap | to abduct | to hijack
榜样,7,6902,noun,bǎng yàng,example | model
傍晚,6,9979,noun,bàng wǎn,in the evening | towards evening
棒,5,1228,noun,bàng,stick | club | cudgel | classifier for legs of a relay race
棒球,7,9599,noun,bàng qiú,baseball
磅,7,5014,noun,bàng,"scale (instrument for weighing) | (loanword) pound (unit of weight, about 454 grams) | (printing) point (unit used to measure the size of type)"
包,1,755,verb,bāo,to cover | to wrap | to hold | to include | to take charge of | to contract (to or for) | to hold or embrace
包庇,6,20727,verb,bāo bì,to shield | to harbor | to cover up
包袱,7,9285,noun,bāo fu,wrapping cloth | a bundle wrapped in cloth | load | weight | burden | funny part | punchline
包裹,4,5432,verb,bāo guǒ,to wrap up | to bind up
包含,4,5524,verb,bāo hán,to contain | to embody | to include
包括,4,788,verb,bāo kuò,to comprise | to include | to involve | to incorporate | to consist of
包容,7,10708,verb,bāo róng,to pardon | to forgive | to show tolerance | to contain | to hold
包围,5,5295,verb,bāo wéi,to surround | to encircle | to hem in
包扎,7,14432,verb,bāo zā,to wrap up | to pack | to bind up (a wound)
包装,5,4634,verb,bāo zhuāng,to pack | to package | to wrap
包子,1,16315,noun,bāo zi,bao (steamed stuffed bun)
煲,7,14364,verb,bāo,to cook slowly over a low flame
薄,4,4129,adjective,bó | bò | báo,thin | cold in manner | indifferent | weak | infertile | meager | slight | weak | frivolous
薄弱,5,10648,adjective,bó ruò,weak; frail
宝,4,1908,noun,bǎo,jewel | gem | treasure
宝宝,4,1968,noun,bǎo bao,darling; baby
宝贝,4,1003,noun,bǎo bèi,treasured object | treasure | darling | baby | cowry | good-for-nothing or queer character
宝藏,7,11504,noun,bǎo zàng,precious mineral deposits | hidden treasure | (fig.) treasure | (Buddhism) the treasure of Buddha's law
宝贵,4,5572,adjective,bǎo guì,valuable | precious
宝库,7,22455,noun,bǎo kù,"treasure-house | treasury | treasure-trove (often fig., book of treasured wisdom)"
宝石,4,8615,noun,bǎo shí,precious stone; gem
饱,2,4742,verb,bǎo,to eat till full
饱和,7,19403,noun,bǎo hé,saturated; filled to capacity
饱经沧桑,6,86660,adjective,bǎo jīng cāng sāng,having lived through many changes
饱满,7,16473,adjective,bǎo mǎn,full | plump
保,3,1597,verb,bǎo,to defend; to protect; to keep | to guarantee; to ensure
保安,3,3028,verb,bǎo ān,to ensure public security | to ensure safety (for workers engaged in production)
保持,3,644,verb,bǎo chí,to keep | to maintain | to hold | to preserve
保存,3,3916,verb,bǎo cún,to conserve | to preserve | to keep | to save (a file etc) (computing)
保管,7,7305,verb,bǎo guǎn,to hold in safekeeping | to have in one's care | to guarantee
保护,3,536,verb,bǎo hù,to protect | to defend | to safeguard
保健,6,8782,noun,bǎo jiàn,health protection | health care
保留,3,2921,verb,bǎo liú,to keep | to retain | to have reservations (about sth) | to hold back (from saying sth) | to put aside for later
保密,4,5279,idiom,bǎo mì,to keep sth confidential
保姆,7,5382,noun,bǎo mǔ,nanny | housekeeper
保暖,7,9897,verb,bǎo nuǎn,to keep warm
保守,4,4898,adjective,bǎo shǒu,conservative
保卫,5,5011,verb,bǎo wèi,to defend | to safeguard
保鲜,7,16569,verb,bǎo xiān,to keep fresh
保险,3,1430,noun,bǎo xiǎn,insurance
保修,7,22465,verb,bǎo xiū,to promise to keep sth in good repair
保养,5,10030,verb,bǎo yǎng,to take good care of (or conserve) one's health | to keep in good repair | to maintain
保佑,7,4727,verb,bǎo yòu,to bless and protect
保障,7,3491,verb,bǎo zhàng,to ensure | to guarantee | to safeguard
保证,3,586,noun,bǎo zhèng,guarantee
保质期,7,23667,noun,bǎo zhì qī,shelf life | expiration date
保重,7,9105,verb,bǎo zhòng,to take care of oneself
堡垒,7,12525,noun,bǎo lěi,fort
报,3,967,verb,bào,to announce | to inform
报仇,7,8334,verb,bào chóu,to take revenge | to avenge
报酬,7,6322,noun,bào chou,reward | remuneration
报答,5,11736,verb,bào dá,to repay | to requite
报到,3,8953,verb,bào dào,to report for duty | to check in | to register
报道,3,886,verb,bào dào,to report (news)
报废,7,15621,verb,bào fèi,to scrap; to dispose of (sth worn-out or damaged)
报复,7,4880,verb,bào fù,to make reprisals; to retaliate
报告,3,681,verb,bào gào,to inform | to report | to make known
报警,5,2972,verb,bào jǐng,to sound an alarm | to report sth to the police
报刊,6,15103,noun,bào kān,newspapers and periodicals | the press
报考,6,23743,verb,bào kǎo,to enter oneself for an examination
报名,2,4602,verb,bào míng,to sign up | to enter one's name | to apply | to register | to enroll | to enlist
报社,7,8300,noun,bào shè,newspaper (i.e. a company)
报亭,7,1000000,noun,bào tíng,kiosk | newsstand
报销,7,12447,verb,bào xiāo,to submit an expense account | to apply for reimbursement | to write off | to wipe out
报纸,2,2232,noun,bào zhǐ,newspaper | newsprint
抱,4,1238,verb,bào,to hold | to carry (in one's arms) | to hug | to embrace | to surround | to cherish
抱负,7,20578,noun,bào fù,aspiration | ambition
抱歉,6,4909,verb,bào qiàn,to be sorry | to feel apologetic
抱怨,5,3331,verb,bào yuàn,to complain | to grumble | to harbor a complaint | to feel dissatisfied
豹,7,7248,noun,bào,leopard | panther
暴风雨,6,13978,noun,bào fēng yǔ,rainstorm | storm | tempest
暴风骤雨,7,47595,noun,bào fēng zhòu yǔ,violent wind and rainstorm | hurricane | tempest
暴力,6,2995,noun,bào lì,violence | force
暴利,7,27880,adjective,bào lì,sudden huge profits
暴露,6,3702,verb,bào lù,to expose | to reveal | to lay bare
暴雨,6,10782,noun,bào yǔ,torrential rain | rainstorm
暴躁,7,12213,noun,bào zào,irascible
爆,6,1953,verb,bào,to explode or burst | to quick fry or quick boil
爆发,6,3458,verb,bào fā,to break out | to erupt | to explode | to burst out
爆冷门,7,84475,noun,bào lěng mén,an upset (esp. in sports) | a breakthrough
爆满,7,24881,adjective,bào mǎn,"filled to capacity (of theater, stadium, gymnasium etc)"
爆炸,6,1772,noun,bào zhà,explosion
爆竹,7,16172,noun,bào zhú,firecracker
卑鄙,7,10658,noun,bēi bǐ,base
杯,1,684,noun,bēi,"cup | trophy cup | classifier for certain containers of liquids: glass, cup | trophy cup | classifier for certain containers of liquids: glass, cup"
杯子,1,6162,noun,bēi zi,cup | glass
悲哀,7,6059,adjective,bēi āi,grieved | sorrowful
悲惨,6,8154,adjective,bēi cǎn,miserable | tragic
悲观,7,10593,noun,bēi guān,pessimistic
悲欢离合,7,57812,noun,bēi huān lí hé,joys and sorrows | partings and reunions | the vicissitudes of life
悲剧,5,3680,noun,bēi jù,tragedy
悲伤,5,3739,adjective,bēi shāng,sad; sorrowful
悲痛,7,10078,adjective,bēi tòng,grieved | sorrowful
碑,7,16576,noun,bēi,a monument | an upright stone tablet | stele
北,1,1835,noun,běi,north | (classical) to be defeated
北边,1,17637,noun,běi biān,north | north side | northern part
北部,3,5420,noun,běi bù,northern part
北方,2,4879,noun,běi fāng,north | the northern part a country | China north of the Yellow River
北极,5,13047,noun,běi jí,the North Pole; the Arctic Pole | the north magnetic pole
北京,1,4799,noun,Běi jīng,"Beijing, capital of the People's Republic of China"
贝壳,7,16537,noun,bèi ké,shell | conch | cowry | mother of pearl | hard outer skin
备份,6,12070,noun,bèi fèn,backup
备课,7,33147,adjective,bèi kè,(of a teacher) to prepare lessons
备受,7,8775,verb,bèi shòu,to fully experience (good or bad)
备忘录,6,10931,noun,bèi wàng lù,memorandum | aide-memoire | memorandum book
备用,7,7153,noun,bèi yòng,reserve | spare | alternate | backup
背,2,1623,verb,bèi | bēi,to be burdened | to carry on the back or shoulder | to turn one's back | to hide something from | to learn by heart | to recite from memory
背包,5,8274,noun,bēi bāo,knapsack | rucksack | infantry pack | field pack | blanket roll
背后,3,2349,noun,bèi hòu,behind | in the rear | behind sb's back
背景,4,2420,noun,bèi jǐng,background; backdrop; context | (fig.) powerful backer
背面,7,10439,noun,bèi miàn,the back | the reverse side | the wrong side
背叛,7,5017,verb,bèi pàn,to betray
背诵,7,19524,verb,bèi sòng,to recite | to repeat from memory
背心,6,10100,noun,bèi xīn,"sleeveless garment (vest, waistcoat, singlet, tank top etc)"
背着,6,9984,noun,bèi zhe | bēi zhe,carrying on one's back | turning one's back to (sth or sb)
倍,4,1396,noun,bèi,"(two, three etc) -fold | times (multiplier) | double"
被,3,54,noun,bèi,quilt | (literary) to suffer (a misfortune)
被捕,7,6219,verb,bèi bǔ,to be arrested
被动,5,9120,noun,bèi dòng,passive
被告,6,3643,noun,bèi gào,defendant
被迫,4,4859,verb,bèi pò,to be compelled | to be forced
被子,3,8179,noun,bèi zi,quilt
辈,5,10523,noun,bèi,lifetime | generation | group of people | class | classifier for generations | (literary) classifier for people
奔,7,5778,verb,bèn | bēn,to hurry | to rush | to run quickly | to elope | to go to | to head for
奔波,7,12069,verb,bēn bō,to rush about
奔驰,6,7787,verb,bēn chí,to run quickly | to speed | to gallop
奔赴,7,21998,verb,bēn fù,to rush to | to hurry to
奔跑,6,9573,verb,bēn pǎo,to run
本,1,222,noun,běn,"root | stem | origin | source | this | the current | classifier for books, periodicals, files etc"
本地,6,3477,noun,běn dì,local | this locality
本分,7,23007,verb,běn fèn,(to play) one's part | (to stay within) one's bounds
本科,4,16998,noun,běn kē,undergraduate course
本来,3,1093,adjective,běn lái,original
本领,3,10811,noun,běn lǐng,skill | ability | capability
本能,7,7537,noun,běn néng,instinct
本期,6,20997,noun,běn qī,the current period | this term (usually in finance)
本钱,7,18266,noun,běn qián,capital | (fig.) asset; advantage; the means (to do sth)
本人,5,2656,pronoun,běn rén,I; me; myself
本色,7,10431,noun,běn sè | běn shǎi,inherent qualities | natural qualities | distinctive character | true qualities | natural color
本身,6,2405,noun,běn shēn,itself | per se
本事,3,5333,noun,běn shi | běn shì,source material | original story | ability | skill
本土,6,7660,noun,běn tǔ,one's native country | local | metropolitan territory
本性,7,8657,noun,běn xìng,natural instincts | nature | inherent quality
本意,7,13124,noun,běn yì,original idea | real intention | etymon
本着,7,19101,noun,běn zhe,based on...
本质,6,5084,noun,běn zhì,essence | nature | innate character | intrinsic quality
本子,1,12849,noun,běn zi,"book | notebook | Japanese-style self-published comic (esp. an erotic one), aka ""dōjinshi"" | edition"
笨,4,3806,adjective,bèn,stupid | foolish | silly | slow-witted | clumsy
笨蛋,7,5816,noun,bèn dàn,fool | idiot
笨重,7,25279,adjective,bèn zhòng,heavy | cumbersome
笨拙,6,17203,adjective,bèn zhuō,clumsy | awkward | stupid
崩溃,7,4192,verb,bēng kuì,to collapse; to crumble; to fall apart
甭,6,15279,idiom,béng | bèng,(contraction of 用) need not; please don't
绷,7,11156,verb,bēng | běng,to draw tight | to stretch taut | to tack (with thread or pin) | to have a taut face
绷带,7,16542,noun,bēng dài,bandage (loanword)
迸发,6,23536,verb,bèng fā,to burst forth
蹦,7,7023,verb,bèng,to jump | to bounce | to hop
逼,6,1122,verb,bī,to compel | to pressure | to force (sb to do sth) | to compel | to press for | to extort | to press on towards | to press up to | to close in on
逼近,7,12487,verb,bī jìn,to press on towards | to close in on | to approach | to draw near
逼迫,7,13026,verb,bī pò,to force | to compel | to coerce
逼真,7,13735,noun,bī zhēn,lifelike | true to life | distinctly
鼻涕,7,12144,noun,bí tì,nasal mucus; snivel; snot
鼻子,5,3484,noun,bí zi,nose
比,1,155,verb,bī | bǐ,to compare | to gesture
比比皆是,7,29754,idiom,bǐ bǐ jiē shì,can be found everywhere
比不上,7,11223,verb,bǐ bù shàng,can't compare with
比方,5,11193,noun,bǐ fang,analogy | instance
比分,4,4795,noun,bǐ fēn,score
比较,3,607,verb,bǐ jiào,to compare | to contrast
比例,3,4723,noun,bǐ lì,proportion | scale
比起,7,13998,noun,bǐ qǐ,compared with
比如,2,1051,adverb,bǐ rú,for example | for instance | such as
比如说,2,2785,adverb,bǐ rú shuō,for example
比赛,3,275,noun,bǐ sài,competition (sports etc) | match
比试,7,22158,verb,bǐ shì,to have a competition | to measure with one's hand or arm | to make a gesture of measuring
比喻,7,8644,verb,bǐ yù,to compare | to liken to
比重,5,20691,noun,bǐ zhòng,proportion | specific gravity
彼此,5,2165,adverb,bǐ cǐ,each other; one another
笔,2,1245,noun,bǐ,"pen | pencil | writing brush | the strokes of Chinese characters | classifier for sums of money, deals"
笔记,2,7920,verb,bǐ jì,to take down (in writing)
笔记本,2,3935,noun,bǐ jì běn,notebook (stationery) | notebook (computing)
笔试,6,25608,noun,bǐ shì,written examination | paper test (for an applicant)
鄙视,7,8470,verb,bǐ shì,to despise | to disdain | to look down upon
必,5,2532,adverb,bì,certainly | necessarily
