id,word,level,difficulty,pos,pinyin,definitions
11290,字母,4,6456,noun,zìmǔ,letter (of an alphabet) | alphabet | character representing an initial consonant | matrix
8942,峡谷,7,10789,noun,xiágǔ,canyon; gorge
1875,电脑,1,946,noun,diànnǎo,computer (electronic device)
4985,筷子,2,10486,noun,kuàizi,chopsticks
4985,筷子,2,10486,classifier,kuàizi,Classifier for an amount of food held with a pair of chopsticks.
2266,翻译,4,4025,verb,fānyì,to translate (to change spoken words or written text from one language to another) | to translate (to generate a chain of amino acids based on the sequence of codons in an mRNA molecule)
2266,翻译,4,4025,noun,fānyì,translator; interpreter
6391,普通话,2,14869,noun,pǔtōnghuà,common language | Standard Mandarin Chinese; Standard Chinese | Mandarin as spoken in Mainland China; Putonghua
3831,激光,7,6471,noun,jīguāng,laser
3838,激素,7,7000,noun,jīsù,hormone
3838,激素,7,7000,verb,jīsù,to undergo HRT (hormone replacement therapy)
4709,咖啡,3,1698,noun,kāfēi,coffee
7377,声调,5,23243,noun,shēngdiào,tone; note | tone
1089,翅膀,7,6681,noun,chìbǎng,wing (of a bird or insect) | wing-like object
1566,大小,2,3641,noun,dàxiǎo,"big and small | size (of dresses, shoes, etc.); proportions; dimensions; magnitude | old and young; adults and children | senior and junior; degree of seniority"
1566,大小,2,3641,adverb,dàxiǎo,at any rate; anyway
8181,天才,5,4429,noun,tiāncái,talent; gift; genius | talented or gifted person; genius
7641,手指,3,3266,noun,shǒuzhǐ,finger | flash drive; thumb drive
6288,漂亮,2,915,adjective,piàoliang,pretty; beautiful; handsome | brilliant; splendid
11330,自由,2,1067,adjective,zìyóu,free; unconstrained | freelance
11330,自由,2,1067,noun,zìyóu,freedom; liberty | freedom
4063,监督,6,3386,verb,jiāndū,to supervise; to superintend; to oversee; to regulate | to oversight (to suppress content in a way that removes or minimizes its visibility or viewability)
4063,监督,6,3386,noun,jiāndū,supervisor; overseer | film director
3560,华侨,7,40806,noun,huáqiáo,Chinese national who lives outside of China | Chinese person living abroad; overseas Chinese; Huaqiao
3562,华裔,7,23110,noun,huáyì,"person of Chinese ancestry (usually born abroad, to parent(s) of Chinese ancestry)"
11015,中央,5,1962,noun,zhōngyāng,"centre (of all sides, ends, surfaces, etc.); middle (of a road) | central authorities | monarch; imperial government"
11015,中央,5,1962,adjective,zhōngyāng,central
4203,交通,2,1688,noun,jiāotōng,transportation; transport; traffic | communications; liaison | liaison person
4203,交通,2,1688,verb,jiāotōng,to be linked with | to contact; to communicate with | to collude with
6469,起源,7,11950,verb,qǐyuán,to originate; to come from
6469,起源,7,11950,noun,qǐyuán,origin; source
827,茶道,7,47506,noun,chádào,"East Asian (Chinese, Japanese, Korean or Vietnamese) tea ceremony"
1509,大道,6,3934,noun,dàdào,avenue (four-lane street); boulevard (multi-lane arterial thoroughfare) | expressway; motorway | the ultimate Tao | major arts
10060,英雄,6,1553,noun,yīngxióng,hero
10060,英雄,6,1553,adjective,yīngxióng,heroic
7353,生活,2,203,noun,shēnghuó,life (activities in life) | livelihood | job; task | calligraphy brush; inkbrush
7353,生活,2,203,verb,shēnghuó,to live; to exist; to lead a lifestyle
10635,招待,7,8447,verb,zhāodài,to entertain; to host; to receive; to serve
10635,招待,7,8447,noun,zhāodài,attendant; reception
8791,无理,7,14822,verb,wúlǐ,to be unreasonable; to be unjust
8791,无理,7,14822,adjective,wúlǐ,unreasonable | irrational
2252,法律,4,816,noun,fǎlǜ,law (body of binding rules and regulations)
8885,习惯,2,1251,verb,xíguàn,to be accustomed to; to be in the habit of
8885,习惯,2,1251,noun,xíguàn,custom; habit
791,草原,5,8743,noun,cǎoyuán,grassland; prairie; steppe; savanna
6220,朋友,1,280,noun,péngyou | péngyǒu,friend | friend; Term of address to a South Asian person. | boyfriend or girlfriend; partner | large number of retainers | designation given by government bureaucrats to Confucian students
8025,太太,2,3823,noun,tàitai,"An honorific for adults, usually conferred on married women following the surname of their husband: Mrs | wife | madame; lady | great-grandmother | great-grandfather | great-great-grandparent | fandom content contributor"
2157,俄语,7,16273,noun,Éyǔ,Russian language
2495,风水,7,15242,noun,fēngshuǐ,"wind and water; wind and rain | feng shui (a Chinese system of geomancy about the ideal topography, geography, and spatial arrangement of things at a place) | tomb | typhoon"
9583,淹没,6,10092,verb,yānmò,to submerge; to inundate; to drown; to drown out
1757,地震,5,3938,noun,dìzhèn,earthquake | shifting or shuffling of posts
1757,地震,5,3938,verb,dìzhèn,to have an earthquake
11346,宗教,6,3459,noun,zōngjiào,religion; the sacred
3477,猴子,4,5675,noun,hóuzi,monkey | die (cube used in games of chance) | praying mantis | boy | Southeast Asian (people) | ill-bred teenager
5110,老虎,4,5451,noun,lǎohǔ,"tiger | tractor | energy-consuming unit or machine | one who uses one's power and influence to engage in large-scale embezzlement, theft or tax evasion; high-ranking corrupt officials"
8026,太阳,2,2001,noun,tàiyáng,sun; the Sun | sunshine; sunlight | temple (on the head) | the Sun | greater yang (⚌)
7233,少女,7,3926,noun,shàonǚ,young woman; girl | youngest daughter
6353,苹果,3,2562,noun,píngguǒ,apple (fruit)
4346,解决,3,458,verb,jiějué,to solve; to resolve; to settle | to kill off; to murder | to wipe out; to eliminate; to annihilate
4346,解决,3,458,noun,jiějué,"solution, settlement | resolution"
8115,特性,5,8741,noun,tèxìng,"special property, characteristic or trait; peculiarity"
9377,姓名,2,4286,noun,xìngmíng,full name (of a person)
3996,家族,7,2672,noun,jiāzú,family; household; clan
1957,定义,7,4821,noun,dìngyì,definition
1957,定义,7,4821,verb,dìngyì,to come up with a definition; to define
3405,和尚,7,7896,noun,héshàng,preceptor; high priest; head monk | any Buddhist monk | knee
7091,僧人,7,20566,noun,sēngrén,bhikkhu; Buddhist monk
6383,菩萨,7,17880,noun,púsà,bodhisattva | kind-hearted person; kind and charitable person
11052,重大,3,1734,adjective,zhòngdà,important; significant; great; major | serious; grave; heavy | large and heavy
7656,首相,6,5438,noun,shǒuxiàng,prime minister | highest level chancellor
5562,马上,1,847,adverb,mǎshàng,at once; immediately; without delay; in a minute; soon | on horseback
9305,新闻,2,805,noun,xīnwén,news (reports of current events) | recent events | new knowledge
10249,渔民,7,16659,noun,yúmín,fishermen; fisherfolk
8727,文字,3,4168,noun,wénzì,written symbols; writing; script; text; characters | writing style wording; language
7856,司法,7,3845,noun,sīfǎ,administration of justice; judiciary; judicature | forensics
115,百科全书,7,22806,noun,bǎikēquánshū,encyclopaedia
2522,否定,3,6489,verb,fǒudìng,to negate; to deny
2522,否定,3,6489,adjective,fǒudìng,negative
7363,生日,1,1506,noun,shēngrì,birthday
7363,生日,1,1506,verb,shēngrì,to have one's birthday; to celebrate one's birthday
6679,轻视,5,13811,verb,qīngshì,to not attach importance to; to look down on; to think little of; to despise
10951,制度,3,3310,noun,zhìdù,system; institution
192,包括,4,788,verb,bāokuò,to include; to consist of
692,部分,2,513,noun,bùfen,part; section; segment; portion
6985,日记,4,4636,noun,rìjì,diary; journal
9945,义务,4,3344,adjective,yìwù,compulsory; mandatory | without remuneration; voluntary
9945,义务,4,3344,noun,yìwù,duty; obligation; responsibility
1741,地名,6,14919,noun,dìmíng,placename; toponym
10143,忧郁,7,8164,adjective,yōuyù,sad; depressed; melancholic; dejected
10143,忧郁,7,8164,noun,yōuyù,"(～症, ～病) depression"
1890,电子,3,1874,noun,diànzǐ,electron
1890,电子,3,1874,adjective,diànzǐ,electronic; electrical
5884,母语,6,22744,noun,mǔyǔ,mother tongue; native language; first language | ancestral language | official mandated language of one's ethnic group
5154,类似,3,2276,verb,lèisì,to be similar (to); to be analogous (to)
5214,理由,3,1280,noun,lǐyóu,reason; grounds; justification
3397,何时,7,4100,pronoun,héshí,when; what time
4341,解答,7,10261,verb,jiědá,to answer
6937,人物,5,1410,noun,rénwù,figure; personage | character (in a story) | personnel | figure painting; painting of a person; portrait | demeanour | people and things
8404,土地,4,1563,noun,tǔdì,ground; soil; land | territory
2638,改正,4,10338,verb,gǎizhèng,to correct; to amend; to rectify
11311,自然,3,929,noun,zìrán,nature; the natural world
11311,自然,3,929,adjective,zìrán,natural; of or relating to nature | natural; at ease; without strain
11311,自然,3,929,adverb,zìrán,naturally; in a natural manner | naturally; of course; as a matter of course
11311,自然,3,929,conjunction,zìrán,admittedly
3846,吉他,7,6172,noun,jítā,guitar
1550,大人,2,2368,noun,dàrén,"adult; grown-up | person of high rank (such as a ruler or noble) | Your Excellency; His Excellency (form of address to a higher-up) | form of address to one's parents or elder members of the family | An address used by ordinary citizens to address Japanese occupation officials: sir | police officer | paper person, used as a scapegoat"
